"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 18;  Democracy Status 20;  Trend Democracy;;  Economy Status 18;  Economy Status 20;  Trend Economy;;  Governance Index 18;  Governance Index 20;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Croatia;1;15;7,91;16;8,15;9,3;10;9;8;10;8,5;9;9;10;6;7,3;8;7;6;8;8,5;8;9;7,3;7;8;7;7;17;7,68;7,0;7;9,3;8;10;10;9;8,0;9;7;8,0;9;7;7,5;7;8;7,0;7;7,0;7;7;25;6,04;2,3;3;4;2;1;1;2,8;7,28;7,0;7;7;7;6,7;7;6;7;7,8;9;8;8;7;7;7,7;8;8;7;;;8,35;8,15;-0,20;â;7,79;7,68;-0,11;â;6,07;6,04;-0,03;â;;;9;9;10;6;8;8;10;0;Dem.;;;7,91;2;Advanced;8,15;1;Democracies in consolidation;7,68;2;Advanced;6,04;2;Good;2,3;5;Negligible;7,28;2;Sound
Cuba;2;114;3,77;110;3,53;9,0;10;9;10;7;1,8;1;1;2;3;3,3;2;2;5;4;1,0;1;1;2,7;1;3;n/a;4;109;4,00;5,0;5;2,0;3;2;2;1;3,5;3;4;2,5;3;2;6,0;6;6;3,0;3;6,0;5;7;102;3,95;4,3;7;7;2;4;1;4,9;4,52;4,0;5;3;4;5,0;3;6;6;3,4;3;1;6;3;4;5,7;6;5;6;;;3,58;3,53;-0,05;â;4,46;4,00;-0,46;â;3,93;3,95;0,02;â;;;1;1;2;3;2;4;8,5;5;Aut.;;;3,77;5;Failed;3,53;5;Hard-line autocracies;4,00;4;Very limited;3,95;4;Weak;4,3;4;Minor;4,52;4;Flawed
Czech Republic;1;1;9,57;5;9,35;10,0;10;10;10;10;10,0;10;10;10;10;9,0;10;9;7;10;9,0;9;9;8,8;8;10;9;8;1;9,79;10,0;10;10,0;10;10;10;10;10,0;10;10;10,0;10;10;9,5;10;9;10,0;10;9,0;9;9;7;7,08;1,1;1;1;1;1;1;1,5;8,83;8,7;9;9;8;8,0;9;8;7;9,0;10;10;8;9;8;9,7;10;9;10;;;9,40;9,35;-0,05;â;9,64;9,79;0,14;â;7,03;7,08;0,06;â;;;10;10;10;10;10;10;10;0;Dem.;;;9,57;1;Highly advanced;9,35;1;Democracies in consolidation;9,79;1;Highly advanced;7,08;1;Very good;1,1;5;Negligible;8,83;1;Excellent
Djibouti;5;105;4,16;100;3,78;6,8;10;7;6;4;3,0;4;3;3;2;3,0;3;3;3;3;2,5;3;2;3,7;4;2;n/a;5;98;4,54;2,0;2;4,8;4;2;6;7;4,5;5;4;6,0;5;7;4,5;5;4;7,0;7;3,0;3;3;64;5,10;7,0;7;10;3;6;10;6,1;5,46;5,0;5;5;5;5,0;4;8;3;3,5;6;1;6;1;n/a;8,3;9;7;9;;;-;3,78;-;;-;4,54;-;;-;5,10;-;;;;4;3;3;2;3;3;7;6;Aut.;;;4,16;4;Very limited;3,78;5;Hard-line autocracies;4,54;4;Very limited;5,10;3;Moderate;7,0;2;Substantial;5,46;3;Fair
Dominican Republic;2;45;6,36;41;6,80;7,5;8;7;8;7;7,8;7;8;9;7;5,3;6;5;4;6;7,0;7;7;6,5;6;7;7;6;58;5,93;5,0;5;6,5;6;6;7;7;7,5;8;7;6,5;6;7;4,5;5;4;7,0;7;4,5;4;5;39;5,75;4,3;5;5;3;4;4;4,6;6,58;6,3;6;6;7;5,3;6;7;3;7,0;7;9;7;5;n/a;7,7;8;7;8;;;6,95;6,80;-0,15;â;5,93;5,93;0,00;â;5,57;5,75;0,18;â;;;7;8;9;7;6;6;7,5;0;Dem.;;;6,36;3;Limited;6,80;2;Defective democracies;5,93;3;Limited;5,75;2;Good;4,3;4;Minor;6,58;2;Sound
Ecuador;2;40;6,48;30;7,20;8,5;9;9;9;7;8,5;8;9;9;8;6,5;7;6;6;7;7,0;7;7;5,5;6;6;5;5;60;5,75;5,0;5;6,3;5;6;7;7;7,0;8;6;6,5;6;7;5,5;5;6;5,0;5;5,0;5;5;58;5,22;4,4;6;6;3;5;3;3,5;5,96;5,0;5;5;5;5,3;5;5;6;6,5;6;8;7;5;n/a;7,0;7;6;8;;;5,90;7,20;1,30;ã;5,54;5,75;0,21;â;4,99;5,22;0,23;â;;;8;9;9;8;7;7;8;0;Dem.;;;6,48;3;Limited;7,20;2;Defective democracies;5,75;3;Limited;5,22;3;Moderate;4,4;4;Minor;5,96;3;Fair
Egypt;4;104;4,20;112;3,50;6,3;6;7;6;6;2,3;2;2;3;2;3,0;3;4;3;2;2,0;2;2;4,0;3;4;n/a;5;83;4,89;3,0;3;5,8;4;5;7;7;5,5;6;5;6,0;5;7;4,0;4;4;6,0;6;4,0;4;4;103;3,85;5,9;7;5;7;6;4;6,4;4,23;4,0;5;4;3;4,3;4;5;4;2,6;3;2;3;3;2;6,0;5;5;8;;;3,70;3,50;-0,20;â;4,86;4,89;0,04;â;3,96;3,85;-0,12;â;;;2;2;3;2;3;2;6;6;Aut.;;;4,20;4;Very limited;3,50;5;Hard-line autocracies;4,89;4;Very limited;3,85;4;Weak;5,9;3;Moderate;4,23;4;Flawed
El Salvador;2;31;6,80;30;7,20;7,5;6;9;9;6;8,5;9;9;8;8;6,0;7;6;6;5;8,0;7;9;6,0;7;7;5;5;39;6,39;4,0;4;8,3;7;7;10;9;8,0;9;7;8,0;7;9;5,5;6;5;6,0;6;5,0;5;5;16;6,54;5,2;7;5;4;6;5;4,3;7,32;6,3;7;6;6;6,3;6;8;5;7,6;8;9;8;7;6;9,0;9;8;10;;;7,30;7,20;-0,10;â;6,46;6,39;-0,07;â;6,57;6,54;-0,03;â;;;9;9;8;8;7;5;6;0;Dem.;;;6,80;3;Limited;7,20;2;Defective democracies;6,39;3;Limited;6,54;2;Good;5,2;3;Moderate;7,32;2;Sound
Equatorial Guinea;3;126;3,02;127;2,82;7,0;8;6;9;5;2,0;2;2;2;2;1,8;2;2;1;2;1,0;1;1;2,3;2;2;n/a;3;121;3,21;2,0;2;3,0;2;2;3;5;6,5;8;5;2,0;2;2;3,0;3;3;3,0;3;3,0;3;3;115;3,41;6,3;7;9;3;4;8;6,6;3,72;4,3;4;4;5;3,3;2;7;1;3,2;2;1;7;2;4;4,0;4;3;5;;;-;2,82;-;;-;3,21;-;;-;3,41;-;;;;2;2;2;2;2;2;6,5;6;Aut.;;;3,02;5;Failed;2,82;5;Hard-line autocracies;3,21;4;Very limited;3,41;4;Weak;6,3;3;Moderate;3,72;4;Flawed
Eritrea;5;135;1,70;133;2,12;6,0;7;7;7;3;1,0;1;1;1;1;1,3;1;1;2;1;1,0;1;1;1,3;1;1;n/a;2;136;1,29;1,0;1;1,0;1;1;1;1;1,0;1;1;2,0;3;1;1,5;2;1;1,0;1;1,5;2;1;137;1,20;8,2;8;10;5;9;10;7,4;1,25;1,0;1;1;1;1,3;1;2;1;1,0;1;1;1;1;1;1,7;1;1;3;;;2,12;2,12;0,00;â;1,57;1,29;-0,29;â;1,13;1,20;0,08;â;;;1;1;1;1;1;1;5;6;Aut.;;;1,70;5;Failed;2,12;5;Hard-line autocracies;1,29;5;Rudimentary;1,20;5;Failed;8,2;2;Substantial;1,25;5;Poor
Estonia;1;2;9,54;2;9,80;9,8;10;9;10;10;10,0;10;10;10;10;10,0;10;10;10;10;10,0;10;10;9,3;9;9;10;9;4;9,29;8,0;8;10,0;10;10;10;10;10,0;10;10;10,0;10;10;9,0;9;9;9,0;9;9,0;9;9;1;7,46;1,7;2;2;3;1;1;1,1;9,15;9,3;10;9;9;8,7;9;8;9;8,6;10;9;7;9;8;10,0;10;10;10;;;9,75;9,80;0,05;â;9,29;9,29;0,00;â;7,44;7,46;0,02;â;;;10;10;10;10;10;10;10;0;Dem.;;;9,54;1;Highly advanced;9,80;1;Democracies in consolidation;9,29;1;Highly advanced;7,46;1;Very good;1,7;5;Negligible;9,15;1;Excellent
Eswatini;5;117;3,51;106;3,58;7,5;10;8;6;6;1,8;1;1;3;2;2,5;2;4;1;3;2,5;2;3;3,7;1;4;n/a;6;116;3,43;2,0;2;5,0;4;4;6;6;5,0;7;3;3,0;2;4;3,0;3;3;3,0;3;3,0;3;3;122;3,11;5,7;7;5;4;6;6;6,;3,44;3,3;3;4;3;2,7;2;3;3;2,8;4;1;4;2;n/a;5,0;4;4;7;;;-;3,58;-;;-;3,43;-;;-;3,11;-;;;;1;1;3;2;2;3;8;6;Aut.;;;3,51;5;Failed;3,58;5;Hard-line autocracies;3,43;4;Very limited;3,11;4;Weak;5,7;3;Moderate;3,44;4;Flawed
Ethiopia;5;113;3,82;95;4,00;7,0;8;6;8;6;3,8;4;3;5;3;3,3;3;4;4;2;3,0;3;3;3,0;4;2;n/a;3;115;3,64;1,0;1;4,0;4;4;4;4;4,0;4;4;3,5;3;4;3,0;3;3;6,0;6;4,0;3;5;67;4,96;7,6;8;7;6;9;10;5,9;5,23;5,0;5;5;5;4,0;4;4;4;4,6;4;4;5;4;6;7,3;8;7;7;;;3,02;4,00;0,98;æ;3,64;3,64;0,00;â;3,65;4,96;1,31;ã;;;4;3;5;3;3;2;7;5;Aut.;;;3,82;5;Failed;4,00;4;Moderate autocracies;3,64;4;Very limited;4,96;3;Moderate;7,6;2;Substantial;5,23;3;Fair
Gabon;3;88;4,89;80;4,70;8,5;9;9;10;6;3,8;4;3;4;4;3,8;3;3;4;5;2,5;3;2;5,0;4;5;n/a;6;81;5,07;4,0;4;5,0;4;4;6;6;6,5;8;5;5,0;4;6;4,5;4;5;5,0;5;5,5;7;4;72;4,86;4,1;5;5;2;4;4;4,9;5,58;5,0;5;5;5;5,0;4;7;4;5,0;6;3;8;3;n/a;7,3;7;8;7;;;-;4,70;-;;-;5,07;-;;-;4,86;-;;;;4;3;4;4;3;5;7,5;3;Aut.;;;4,89;4;Very limited;4,70;4;Moderate autocracies;5,07;3;Limited;4,86;3;Moderate;4,1;4;Minor;5,58;3;Fair
Gambia;3;60;5,84;38;6,90;8,3;9;10;8;6;7,0;7;7;7;7;5,5;6;6;4;6;7,5;7;8;6,3;5;6;7;7;86;4,79;2,0;2;5,5;4;4;7;7;6,5;8;5;6,5;6;7;4,5;4;5;5,0;5;3,5;4;3;27;5,98;6,9;9;6;4;9;9;4,1;6,43;6,0;6;7;5;5,0;5;6;4;7,4;9;9;7;5;7;7,3;7;7;8;;;-;6,90;-;;-;4,79;-;;-;5,98;-;;;;7;7;7;7;6;6;7,5;0;Dem.;;;5,84;3;Limited;6,90;2;Defective democracies;4,79;4;Very limited;5,98;2;Good;6,9;2;Substantial;6,43;2;Sound
Georgia;6;43;6,39;46;6,60;6,5;5;6;8;7;8,3;8;8;9;8;6,3;6;6;6;7;7,0;6;8;5,0;5;5;6;4;47;6,18;5,0;5;7,3;7;6;9;7;7,5;8;7;6,5;6;7;5,5;6;5;6,0;6;5,5;5;6;36;5,83;4,8;7;6;5;5;1;4,6;6,60;6,0;6;6;6;6,7;6;7;7;6,4;7;8;6;6;5;7,3;8;7;7;;;6,80;6,60;-0,20;â;6,04;6,18;0,14;â;5,87;5,83;-0,04;â;;;8;8;9;8;6;7;6;0;Dem.;;;6,39;3;Limited;6,60;2;Defective democracies;6,18;3;Limited;5,83;2;Good;4,8;3;Moderate;6,60;2;Sound
Ghana;3;33;6,71;20;7,85;7,5;8;9;7;6;8,5;8;9;9;8;7,0;8;8;5;7;8,5;9;8;7,8;8;8;8;7;69;5,57;4,0;4;6,5;6;5;7;8;5,5;5;6;6,5;6;7;5,0;4;6;7,0;7;4,5;4;5;18;6,26;5,1;6;4;4;8;5;3,8;7,02;6,0;6;6;6;6,0;5;8;5;7,8;8;9;7;7;n/a;8,3;8;9;8;;;7,90;7,85;-0,05;â;5,61;5,57;-0,04;â;6,18;6,26;0,08;â;;;8;9;9;8;8;7;7;0;Dem.;;;6,71;3;Limited;7,85;2;Defective democracies;5,57;3;Limited;6,26;2;Good;5,1;3;Moderate;7,02;2;Sound
Guatemala;2;97;4,47;93;4,05;5,3;4;6;8;3;4,8;6;3;5;5;3,3;3;3;3;4;3,0;3;3;4,0;4;4;n/a;4;83;4,89;3,0;3;5,8;4;4;9;6;6,5;7;6;5,5;5;6;4,0;4;4;6,0;6;3,5;3;4;108;3,58;6,3;8;6;6;5;6;6,8;3,90;3,3;4;3;3;3,3;3;4;3;3,6;4;3;3;4;4;5,3;5;5;6;;;5,05;4,05;-1,00;ä;5,11;4,89;-0,21;â;4,52;3,58;-0,94;è;;;6;3;5;5;3;4;3,5;2;Aut.;;;4,47;4;Very limited;4,05;4;Moderate autocracies;4,89;4;Very limited;3,58;4;Weak;6,3;3;Moderate;3,90;4;Flawed
Guinea;3;71;5,33;62;5,95;7,8;8;9;9;5;6,0;6;7;6;5;4,8;5;5;4;5;5,0;5;5;6,3;6;6;7;6;89;4,71;1,0;1;5,0;4;5;6;5;6,5;6;7;6,0;5;7;4,5;4;5;7,0;7;3,0;4;2;27;5,98;7,3;8;6;6;9;10;4,8;6,37;6,3;7;6;6;6,0;6;7;5;5,8;6;7;5;6;5;7,3;7;7;8;;;6,05;5,95;-0,10;â;4,50;4,71;0,21;â;5,82;5,98;0,16;â;;;6;7;6;5;5;5;6,5;0;Dem.;;;5,33;4;Very limited;5,95;3;Highly defective democracies;4,71;4;Very limited;5,98;2;Good;7,3;2;Substantial;6,37;2;Sound
Guinea-Bissau;3;72;5,32;54;6,25;7,0;7;9;9;3;6,8;7;7;7;6;5,0;6;5;4;5;5,5;5;6;7,0;7;7;6;8;102;4,39;1,0;1;3,8;2;4;5;4;7,0;8;6;4,0;4;4;4,5;4;5;7,0;7;3,5;4;3;79;4,60;7,0;8;7;4;9;9;5,;4,93;5,3;6;5;5;3,3;4;3;3;5,4;6;6;6;5;4;5,7;6;5;6;;;-;6,25;-;;-;4,39;-;;-;4,60;-;;;;7;7;7;6;6;5;5;0;Dem.;;;5,32;4;Very limited;6,25;2;Defective democracies;4,39;4;Very limited;4,60;3;Moderate;7,0;2;Substantial;4,93;4;Flawed
Haiti;2;116;3,59;92;4,22;5,8;5;7;9;2;6,0;6;4;7;7;3,0;4;3;2;3;3,0;3;3;3,3;3;3;n/a;4;125;2,96;1,0;1;3,8;3;2;6;4;4,0;5;3;4,5;4;5;3,0;3;3;2,0;2;2,5;3;2;117;3,33;7,6;9;8;6;8;8;6,6;3,52;2,7;3;2;3;2,3;3;2;2;4,4;5;5;4;4;4;4,7;4;4;6;;;4,10;4,22;0,12;â;2,89;2,96;0,07;â;3,39;3,33;-0,06;â;;;6;4;7;7;4;3;3,5;1;Aut.;;;3,59;5;Failed;4,22;4;Moderate autocracies;2,96;5;Rudimentary;3,33;4;Weak;7,6;2;Substantial;3,52;4;Flawed
Honduras;2;86;4,94;83;4,67;7,3;6;8;9;6;4,5;5;3;5;5;3,3;3;3;3;4;3,0;3;3;5,3;6;5;n/a;5;77;5,21;3,0;3;6,5;5;6;8;7;7,0;7;7;6,5;6;7;4,0;4;4;6,0;6;3,5;4;3;91;4,33;6,3;7;6;6;7;6;5,8;4,72;4,7;5;5;4;3,3;3;5;2;4,2;4;4;5;4;4;6,7;7;6;7;;;5,80;4,67;-1,13;ä;5,21;5,21;0,00;â;4,98;4,33;-0,65;è;;;5;3;5;5;3;4;6;3;Aut.;;;4,94;4;Very limited;4,67;4;Moderate autocracies;5,21;3;Limited;4,33;3;Moderate;6,3;3;Moderate;4,72;4;Flawed
Hungary;1;25;6,99;41;6,80;9,3;10;10;8;9;7,0;6;10;7;5;5,8;5;6;5;7;5,5;6;5;6,5;6;6;8;6;22;7,18;7,0;7;7,8;7;7;10;7;7,5;8;7;8,0;9;7;7,0;7;7;8,0;8;5,0;5;5;93;4,13;2,4;2;3;4;1;1;3,5;4,97;5,0;5;6;4;5,0;5;6;4;4,2;6;5;4;4;2;5,7;6;5;6;;;7,15;6,80;-0,35;â;7,71;7,18;-0,54;è;4,44;4,13;-0,31;â;;;6;10;7;5;5;7;9,5;0;Dem.;;;6,99;3;Limited;6,80;2;Defective democracies;7,18;2;Advanced;4,13;4;Weak;2,4;5;Negligible;4,97;4;Flawed
India;7;34;6,70;29;7,25;7,3;8;7;7;7;7,3;9;8;6;6;7,0;9;7;6;6;8,0;8;8;6,8;7;6;9;5;48;6,14;4,0;4;6,5;6;7;7;6;6,5;7;6;7,5;7;8;4,5;5;4;9,0;9;5,0;4;6;32;5,92;5,6;6;5;6;8;5;3,9;6,55;6,7;7;6;7;6,0;6;7;5;6,2;8;7;4;7;5;7,3;7;9;6;;;7,60;7,25;-0,35;â;6,32;6,14;-0,18;â;6,02;5,92;-0,11;â;;;9;8;6;6;9;6;7,5;0;Dem.;;;6,70;3;Limited;7,25;2;Defective democracies;6,14;3;Limited;5,92;2;Good;5,6;3;Moderate;6,55;2;Sound
Indonesia;7;47;6,28;52;6,45;6,5;7;7;5;7;6,5;8;6;6;6;6,0;8;5;5;6;6,5;7;6;6,8;6;7;7;7;50;6,11;5,0;5;6,8;6;5;7;9;7,5;8;7;6,0;6;6;5,5;6;5;8,0;8;4,0;3;5;50;5,39;5,3;6;6;5;6;4;4,8;6,02;6,0;6;6;6;5,0;5;6;4;5,4;6;5;6;7;3;7,7;7;8;8;;;6,50;6,45;-0,05;â;6,00;6,11;0,11;â;5,45;5,39;-0,06;â;;;8;6;6;6;8;6;7;0;Dem.;;;6,28;3;Limited;6,45;2;Defective democracies;6,11;3;Limited;5,39;3;Moderate;5,3;3;Moderate;6,02;2;Sound
Iran;4;127;2,83;126;2,88;5,3;7;7;1;6;2,3;3;2;2;2;2,3;3;2;2;2;2,0;2;2;2,7;2;2;n/a;4;127;2,79;3,0;3;2,0;2;2;2;2;2,5;2;3;3,0;3;3;3,0;4;2;3,0;3;3,0;2;4;131;1,79;5,5;7;7;5;5;2;7,3;1,98;2,7;3;2;3;2,0;3;2;1;1,6;2;2;2;1;1;1,7;2;1;2;;;2,92;2,88;-0,03;â;3,39;2,79;-0,61;è;2,85;1,79;-1,06;ä;;;3;2;2;2;3;2;6,5;6;Aut.;;;2,83;5;Failed;2,88;5;Hard-line autocracies;2,79;5;Rudimentary;1,79;5;Failed;5,5;3;Moderate;1,98;5;Poor
Iraq;4;109;4,04;97;3,97;4,5;5;5;4;4;5,3;6;5;7;3;3,8;5;4;3;3;3,0;3;3;3,3;4;3;n/a;3;108;4,11;3,0;3;4,3;4;3;6;4;6,5;7;6;4,0;4;4;3,5;4;3;5,0;5;2,5;2;3;66;5,00;7,3;9;8;9;5;6;6,9;5,32;4,3;4;4;5;4,3;3;6;4;5,6;6;5;6;5;6;7,0;7;6;8;;;3,60;3,97;0,37;â;3,89;4,11;0,21;â;4,43;5,00;0,57;æ;;;6;5;7;3;5;3;4,5;2;Aut.;;;4,04;4;Very limited;3,97;5;Hard-line autocracies;4,11;4;Very limited;5,00;3;Moderate;7,3;2;Substantial;5,32;3;Fair
Jamaica;2;19;7,29;15;8,25;8,8;8;10;9;8;9,5;9;9;10;10;7,3;8;9;5;7;8,5;8;9;7,3;9;7;6;7;41;6,32;5,0;5;6,8;6;5;8;8;8,0;9;7;8,0;8;8;5,5;5;6;6,0;6;5,0;5;5;34;5,86;3,8;4;4;4;5;3;3,;6,79;6,7;7;7;6;4,7;5;5;4;7,5;8;9;7;6;n/a;8,3;8;8;9;;;8,30;8,25;-0,05;â;6,32;6,32;0,00;â;5,86;5,86;0,00;â;;;9;9;10;10;8;7;8;0;Dem.;;;7,29;2;Advanced;8,25;1;Democracies in consolidation;6,32;3;Limited;5,86;2;Good;3,8;4;Minor;6,79;2;Sound
Jordan;4;78;5,14;90;4,32;6,5;8;6;6;6;4,0;5;2;5;4;4,3;3;5;4;5;2,5;2;3;4,3;3;5;n/a;5;57;5,96;4,0;4;7,3;5;7;8;9;7,0;9;5;7,5;8;7;5,5;6;5;5,0;5;5,5;5;6;73;4,84;5,1;7;6;5;5;2;5,6;5,43;4,3;4;5;4;5,0;5;5;5;4,4;6;4;5;4;3;8,0;8;8;8;;;4,37;4,32;-0,05;â;6,07;5,96;-0,11;â;4,84;4,84;0,00;â;;;5;2;5;4;3;5;7;3;Aut.;;;5,14;4;Very limited;4,32;4;Moderate autocracies;5,96;3;Limited;4,84;3;Moderate;5,1;3;Moderate;5,43;3;Fair
Kazakhstan;6;87;4,91;100;3,78;8,5;9;8;9;8;2,3;2;2;3;2;3,5;2;4;4;4;2,0;2;2;2,7;2;3;n/a;3;54;6,04;6,0;6;6,3;6;5;8;6;6,5;6;7;6,0;6;6;6,0;6;6;6,0;6;5,5;5;6;81;4,54;4,2;5;7;4;3;1;5,;5,22;5,0;5;5;5;5,0;5;6;4;4,2;6;2;6;3;4;6,7;5;7;8;;;3,80;3,78;-0,02;â;5,61;6,04;0,43;â;4,41;4,54;0,13;â;;;2;2;3;2;2;4;8,5;5;Aut.;;;4,91;4;Very limited;3,78;5;Hard-line autocracies;6,04;3;Limited;4,54;3;Moderate;4,2;4;Minor;5,22;3;Fair
Kenya;5;76;5,16;79;4,85;6,3;5;7;7;6;4,5;5;3;5;5;5,5;6;7;4;5;3,0;3;3;5,0;4;5;n/a;6;71;5,46;3,0;3;6,3;5;6;7;7;6,5;7;6;6,0;5;7;5,0;5;5;7,0;7;4,5;4;5;75;4,77;5,9;7;4;6;8;5;5,1;5,25;5,0;5;5;5;4,3;5;4;4;5,0;7;5;5;4;4;6,7;7;6;7;;;6,25;4,85;-1,40;ä;5,36;5,46;0,11;â;4,92;4,77;-0,16;â;;;5;3;5;5;6;5;5,5;2;Aut.;;;5,16;4;Very limited;4,85;4;Moderate autocracies;5,46;3;Limited;4,77;3;Moderate;5,9;3;Moderate;5,25;3;Fair
Kosovo;1;50;6,20;49;6,55;7,8;8;7;8;8;7,5;8;7;9;6;5,5;5;5;5;7;6,5;6;7;5,5;6;6;6;4;59;5,86;5,0;5;6,5;5;6;8;7;7,0;8;6;6,5;6;7;5,5;5;6;6,0;6;4,5;4;5;59;5,21;4,4;6;5;5;5;1;4,4;5,95;5,7;6;6;5;4,7;4;6;4;6,8;9;7;6;6;6;6,7;7;6;7;;;6,45;6,55;0,10;â;5,96;5,86;-0,11;â;5,17;5,21;0,04;â;;;8;7;9;6;5;7;8;0;Dem.;;;6,20;3;Limited;6,55;2;Defective democracies;5,86;3;Limited;5,21;3;Moderate;4,4;4;Minor;5,95;3;Fair
Kuwait;4;57;5,94;80;4,70;7,8;10;7;6;8;3,8;4;3;4;4;5,0;4;5;5;6;3,0;3;3;4,0;2;6;n/a;4;22;7,18;7,0;7;6,8;6;5;8;8;8,5;8;9;7,5;8;7;6,5;7;6;9,0;9;5,0;4;6;82;4,52;3,8;3;6;4;1;4;4,6;5,25;4,7;5;4;5;4,7;5;4;5;5,0;5;4;5;4;7;6,7;6;6;8;;;4,50;4,70;0,20;â;6,71;7,18;0,46;â;4,37;4,52;0,15;â;;;4;3;4;4;4;6;9;2;Aut.;;;5,94;3;Limited;4,70;4;Moderate autocracies;7,18;2;Advanced;4,52;3;Moderate;3,8;4;Minor;5,25;3;Fair
Kyrgyzstan;6;59;5,87;57;6,10;8,3;9;8;9;7;6,3;6;6;7;6;5,0;5;4;5;6;6,0;5;7;5,0;4;5;6;5;66;5,64;4,0;4;6,5;5;6;8;7;7,5;8;7;7,0;6;8;5,0;5;5;6,0;6;3,5;3;4;80;4,56;5,2;7;6;4;8;2;4,4;5,10;4,3;4;4;5;4,3;4;5;4;5,4;7;6;5;6;3;6,3;6;6;7;;;6,15;6,10;-0,05;â;5,64;5,64;0,00;â;4,73;4,56;-0,17;â;;;6;6;7;6;5;6;8;0;Dem.;;;5,87;3;Limited;6,10;2;Defective democracies;5,64;3;Limited;4,56;3;Moderate;5,2;3;Moderate;5,10;3;Fair
Laos;7;112;3,88;122;2,97;8,3;8;9;9;7;1,0;1;1;1;1;2,3;1;2;3;3;1,0;1;1;2,3;1;1;n/a;5;86;4,79;4,0;4;5,0;5;3;7;5;6,5;7;6;4,0;3;5;4,0;3;5;7,0;7;3,0;3;3;101;3,96;6,5;6;10;3;7;7;5,8;4,30;4,0;4;3;5;3,7;5;4;2;3,2;4;1;6;1;4;6,3;5;6;8;;;2,92;2,97;0,05;â;4,79;4,79;0,00;â;3,89;3,96;0,07;â;;;1;1;1;1;1;3;7,5;6;Aut.;;;3,88;5;Failed;2,97;5;Hard-line autocracies;4,79;4;Very limited;3,96;4;Weak;6,5;2;Substantial;4,30;4;Flawed
