"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 20;  Democracy Status 22;  Trend Democracy;;  Economy Status 20;  Economy Status 22;  Trend Economy;;  Governance Index 20;  Governance Index 22;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Croatia;1;13;8,13;14;8,30;9,3;10;10;8;9;8,5;9;9;10;6;7,3;8;7;6;8;9,0;9;9;7,5;7;9;7;7;13;7,96;8,0;8;9,3;8;10;10;9;8,0;9;7;8,0;9;7;8,0;8;8;7,0;7;7,5;8;7;25;5,98;2,3;4;3;2;1;1;2,8;7,22;6,3;7;6;6;6,7;7;6;7;8,2;9;9;8;7;8;7,7;8;8;7;;;8,15;8,30;0,15;â;7,68;7,96;0,29;â;6,04;5,98;-0,06;â;;;9;9;10;6;8;8;9,5;0;Dem.;;;8,13;2;Advanced;8,30;1;Democracies in consolidation;7,96;2;Advanced;5,98;2;Good;2,3;5;Negligible;7,22;2;Sound
Cuba;2;113;3,70;111;3,53;9,0;10;9;10;7;1,8;1;1;2;3;3,3;2;2;5;4;1,0;1;1;2,7;1;3;n/a;4;109;3,86;5,0;5;2,0;3;2;2;1;3,5;3;4;2,5;3;2;6,0;6;6;2,0;2;6,0;5;7;81;4,46;4,3;7;7;2;4;1;4,9;5,10;6,3;7;6;6;4,7;3;6;5;3,4;3;1;6;3;4;6,0;6;5;7;;;3,53;3,53;0,00;â;4,00;3,86;-0,14;â;3,95;4,46;0,51;æ;;;1;1;2;3;2;4;8,5;5;Aut.;;;3,70;5;Failed;3,53;5;Hard-line autocracies;3,86;4;Very limited;4,46;3;Moderate;4,3;4;Minor;5,10;3;Fair
Czech Republic;1;3;9,31;5;9,30;10,0;10;10;10;10;9,8;10;10;10;9;9,0;10;10;7;9;9,0;9;9;8,8;7;10;9;9;2;9,32;9,0;9;9,8;10;9;10;10;9,0;10;8;10,0;10;10;9,5;10;9;9,0;9;9,0;9;9;14;6,64;1,1;1;1;1;1;1;1,5;8,28;7,7;8;8;7;7,0;7;7;7;8,8;10;10;8;8;8;9,7;10;9;10;;;9,35;9,30;-0,05;â;9,79;9,32;-0,46;â;7,08;6,64;-0,44;â;;;10;10;10;9;10;9;10;0;Dem.;;;9,31;1;Highly advanced;9,30;1;Democracies in consolidation;9,32;1;Highly advanced;6,64;2;Good;1,1;5;Negligible;8,28;1;Excellent
Djibouti;5;104;4,12;103;3,67;6,8;10;7;6;4;2,8;4;3;3;1;3,0;3;3;3;3;2,5;3;2;3,3;3;2;n/a;5;89;4,57;2,0;2;5,0;5;2;6;7;5,0;6;4;6,0;5;7;4,5;5;4;6,0;6;3,5;3;4;52;5,17;7,0;7;10;3;6;10;6,1;5,54;5,3;5;6;5;5,3;5;8;3;3,5;6;1;6;1;n/a;8,0;9;7;8;;;3,78;3,67;-0,12;â;4,54;4,57;0,04;â;5,10;5,17;0,08;â;;;4;3;3;1;3;3;7;6;Aut.;;;4,12;4;Very limited;3,67;5;Hard-line autocracies;4,57;4;Very limited;5,17;3;Moderate;7,0;2;Substantial;5,54;3;Fair
Dominican Republic;2;40;6,32;35;6,85;7,8;8;7;9;7;8,0;7;8;9;8;5,3;6;5;4;6;7,0;7;7;6,3;6;6;7;6;55;5,79;5,0;5;6,5;6;6;7;7;7,5;8;7;6,5;6;7;4,5;5;4;6,0;6;4,5;4;5;29;5,84;4,1;5;5;3;4;3;4,5;6,73;6,7;7;6;7;5,3;6;7;3;7,3;8;9;7;5;n/a;7,7;8;7;8;;;6,80;6,85;0,05;â;5,93;5,79;-0,14;â;5,75;5,84;0,10;â;;;7;8;9;8;6;6;7,5;0;Dem.;;;6,32;3;Limited;6,85;2;Defective democracies;5,79;3;Limited;5,84;2;Good;4,1;4;Minor;6,73;2;Sound
Ecuador;2;44;6,23;32;7,00;8,0;9;9;8;6;8,3;8;9;9;7;6,5;7;6;6;7;7,0;7;7;5,3;5;6;5;5;65;5,46;5,0;5;6,3;5;6;7;7;6,5;8;5;6,5;6;7;5,5;5;6;4,0;4;4,5;4;5;67;4,88;4,5;6;6;4;5;2;3,8;5,56;4,3;5;4;4;4,3;4;4;5;6,3;6;8;6;5;n/a;7,3;7;7;8;;;7,20;7,00;-0,20;â;5,75;5,46;-0,29;â;5,22;4,88;-0,34;â;;;8;9;9;7;7;7;7,5;0;Dem.;;;6,23;3;Limited;7,00;2;Defective democracies;5,46;3;Limited;4,88;3;Moderate;4,5;3;Moderate;5,56;3;Fair
Egypt;4;103;4,13;114;3,37;6,8;7;8;6;6;2,3;2;2;3;2;2,5;2;3;3;2;2,0;2;2;3,3;2;3;n/a;5;82;4,89;3,0;3;5,8;4;5;7;7;5,5;6;5;6,0;5;7;4,0;4;4;6,0;6;4,0;4;4;108;3,77;6,1;7;5;7;7;4;6,4;4,13;4,3;5;5;3;4,0;4;5;3;2,2;3;1;3;2;2;6,0;5;5;8;;;3,50;3,37;-0,13;â;4,89;4,89;0,00;â;3,85;3,77;-0,08;â;;;2;2;3;2;2;2;6,5;6;Aut.;;;4,13;4;Very limited;3,37;5;Hard-line autocracies;4,89;4;Very limited;3,77;4;Weak;6,1;3;Moderate;4,13;4;Flawed
El Salvador;2;34;6,46;40;6,70;7,8;7;9;9;6;8,3;9;9;8;7;5,8;6;6;6;5;6,0;6;6;5,8;5;7;6;5;37;6,21;4,0;4;8,0;6;7;10;9;7,5;9;6;8,0;7;9;5,0;5;5;6,0;6;5,0;5;5;36;5,63;5,2;7;5;4;6;5;4,3;6,30;5,3;6;6;4;5,7;5;7;5;6,2;7;7;7;5;5;8,0;7;7;10;;;7,20;6,70;-0,50;è;6,39;6,21;-0,18;â;6,54;5,63;-0,91;è;;;9;9;8;7;6;5;6,5;0;Dem.;;;6,46;3;Limited;6,70;2;Defective democracies;6,21;3;Limited;5,63;2;Good;5,2;3;Moderate;6,30;2;Sound
Equatorial Guinea;3;125;2,97;128;2,77;6,8;8;6;9;4;2,0;2;2;2;2;1,8;2;2;1;2;1,0;1;1;2,3;2;2;n/a;3;120;3,18;2,0;2;2,8;2;2;3;4;6,5;8;5;2,0;2;2;3,0;3;3;3,0;3;3,0;3;3;114;3,33;6,3;8;9;3;4;7;6,8;3,63;4,0;4;3;5;3,3;2;7;1;3,2;2;1;7;2;4;4,0;4;3;5;;;2,82;2,77;-0,05;â;3,21;3,18;-0,04;â;3,41;3,33;-0,07;â;;;2;2;2;2;2;2;6;6;Aut.;;;2,97;5;Failed;2,77;5;Hard-line autocracies;3,18;4;Very limited;3,33;4;Weak;6,3;3;Moderate;3,63;4;Flawed
Eritrea;5;134;1,68;134;2,12;6,0;7;7;7;3;1,0;1;1;1;1;1,3;1;1;2;1;1,0;1;1;1,3;1;1;n/a;2;137;1,25;1,0;1;1,3;1;1;1;2;1,0;1;1;1,5;2;1;1,5;2;1;1,0;1;1,5;2;1;137;1,12;8,2;8;10;5;9;10;7,4;1,17;1,0;1;1;1;1,3;1;2;1;1,0;1;1;1;1;1;1,3;1;1;2;;;2,12;2,12;0,00;â;1,29;1,25;-0,04;â;1,20;1,12;-0,08;â;;;1;1;1;1;1;1;5;6;Aut.;;;1,68;5;Failed;2,12;5;Hard-line autocracies;1,25;5;Rudimentary;1,12;5;Failed;8,2;2;Substantial;1,17;5;Poor
Estonia;1;2;9,47;2;9,65;9,5;10;9;9;10;9,8;10;10;10;9;10,0;10;10;10;10;10,0;10;10;9,0;9;8;10;9;3;9,29;8,0;8;10,0;10;10;10;10;10,0;10;10;10,0;10;10;9,0;9;9;9,0;9;9,0;9;9;7;7,02;1,7;2;2;3;1;1;1,3;8,60;8,7;8;9;9;8,3;9;7;9;8,4;9;9;7;9;8;9,0;10;8;9;;;9,80;9,65;-0,15;â;9,29;9,29;0,00;â;7,46;7,02;-0,44;â;;;10;10;10;9;10;10;10;0;Dem.;;;9,47;1;Highly advanced;9,65;1;Democracies in consolidation;9,29;1;Highly advanced;7,02;1;Very good;1,7;5;Negligible;8,60;1;Excellent
Eswatini;5;115;3,56;112;3,48;7,5;10;8;6;6;1,8;1;1;3;2;2,5;2;3;1;4;2,0;2;2;3,7;1;4;n/a;6;112;3,64;2,0;2;5,0;4;4;6;6;5,5;7;4;3,0;2;4;3,5;4;3;3,0;3;3,5;3;4;117;3,06;5,5;7;5;4;6;5;6,;3,40;2,7;3;3;2;3,0;2;4;3;3,3;5;1;4;3;n/a;4,7;3;4;7;;;3,58;3,48;-0,10;â;3,43;3,64;0,21;â;3,11;3,06;-0,05;â;;;1;1;3;2;2;4;8;5;Aut.;;;3,56;5;Failed;3,48;5;Hard-line autocracies;3,64;4;Very limited;3,06;4;Weak;5,5;3;Moderate;3,40;4;Flawed
Ethiopia;5;114;3,57;99;3,78;5,5;5;4;8;5;3,5;3;3;5;3;3,3;3;4;4;2;3,0;3;3;3,7;4;4;n/a;3;116;3,36;1,0;1;4,0;4;4;4;4;4,5;5;4;3,5;3;4;2,5;2;3;4,0;4;4,0;4;4;89;4,26;8,4;9;7;9;9;10;6,6;4,42;4,0;5;4;3;4,3;5;4;4;4,0;4;4;3;5;4;5,3;6;4;6;;;4,00;3,78;-0,22;â;3,64;3,36;-0,29;â;4,96;4,26;-0,70;è;;;3;3;5;3;3;2;5;5;Aut.;;;3,57;5;Failed;3,78;5;Hard-line autocracies;3,36;4;Very limited;4,26;4;Weak;8,4;2;Substantial;4,42;4;Flawed
Gabon;3;83;4,83;76;4,65;8,5;9;9;10;6;3,8;4;3;4;4;3,5;3;3;4;4;2,5;3;2;5,0;4;5;n/a;6;79;5,00;4,0;4;5,0;4;4;6;6;6,5;8;5;5,0;4;6;5,0;4;6;4,0;4;5,5;7;4;80;4,53;4,3;5;6;2;4;4;5,;5,19;4,3;5;4;4;4,3;3;7;3;4,8;6;4;7;2;n/a;7,3;7;8;7;;;4,70;4,65;-0,05;â;5,07;5,00;-0,07;â;4,86;4,53;-0,32;â;;;4;3;4;4;3;4;7,5;3;Aut.;;;4,83;4;Very limited;4,65;4;Moderate autocracies;5,00;3;Limited;4,53;3;Moderate;4,3;4;Minor;5,19;3;Fair
Gambia;3;55;5,92;33;6,95;8,0;9;10;7;6;6,8;7;7;6;7;5,8;6;7;4;6;7,5;7;8;6,8;5;7;8;7;82;4,89;2,0;2;5,8;4;5;7;7;7,0;8;6;6,5;6;7;4,5;4;5;5,0;5;3,5;4;3;34;5,73;6,7;9;6;4;9;8;4,1;6,18;5,7;6;6;5;4,3;5;6;2;7,4;9;9;6;6;7;7,3;7;7;8;;;6,90;6,95;0,05;â;4,79;4,89;0,11;â;5,98;5,73;-0,26;â;;;7;7;6;7;6;6;7,5;0;Dem.;;;5,92;3;Limited;6,95;2;Defective democracies;4,89;4;Very limited;5,73;2;Good;6,7;2;Substantial;6,18;2;Sound
Georgia;6;52;6,00;54;6,10;6,5;5;7;7;7;7,5;7;7;8;8;5,8;5;6;5;7;6,0;5;7;4,8;4;5;6;4;52;5,89;5,0;5;7,3;7;6;9;7;7,0;7;7;6,5;6;7;5,0;5;5;5,0;5;5,5;5;6;38;5,55;5,0;7;6;6;5;1;4,9;6,25;5,7;6;6;5;6,3;6;7;6;6,0;7;7;5;6;5;7,0;7;7;7;;;6,60;6,10;-0,50;è;6,18;5,89;-0,29;â;5,83;5,55;-0,28;â;;;7;7;8;8;5;7;6;0;Dem.;;;6,00;3;Limited;6,10;2;Defective democracies;5,89;3;Limited;5,55;3;Moderate;5,0;3;Moderate;6,25;2;Sound
Ghana;3;24;6,79;17;8,00;7,8;9;9;7;6;8,8;8;9;9;9;7,0;8;8;5;7;8,5;9;8;8,0;8;8;9;7;64;5,57;4,0;4;6,5;6;5;7;8;5,5;5;6;6,5;6;7;5,0;4;6;7,0;7;4,5;4;5;19;6,23;4,9;6;4;4;7;5;3,6;7,02;6,0;6;6;6;6,0;5;8;5;7,8;8;9;7;7;n/a;8,3;8;9;8;;;7,85;8,00;0,15;â;5,57;5,57;0,00;â;6,26;6,23;-0,03;â;;;8;9;9;9;8;7;7,5;0;Dem.;;;6,79;3;Limited;8,00;1;Democracies in consolidation;5,57;3;Limited;6,23;2;Good;4,9;3;Moderate;7,02;2;Sound
Guatemala;2;92;4,50;91;4,10;5,5;5;6;8;3;4,8;6;4;4;5;3,3;3;3;3;4;3,0;3;3;4,0;4;4;n/a;4;82;4,89;3,0;3;5,8;4;4;9;6;6,5;7;6;5,5;5;6;4,0;4;4;6,0;6;3,5;3;4;113;3,36;6,3;8;6;6;5;6;6,6;3,67;3,3;4;3;3;3,0;3;4;2;3,0;3;3;3;3;3;5,3;5;5;6;;;4,05;4,10;0,05;â;4,89;4,89;0,00;â;3,58;3,36;-0,22;â;;;6;4;4;5;3;4;4;1;Aut.;;;4,50;4;Very limited;4,10;4;Moderate autocracies;4,89;4;Very limited;3,36;4;Weak;6,3;3;Moderate;3,67;4;Flawed
Guinea;3;91;4,60;71;4,85;7,5;7;9;9;5;4,0;5;3;4;4;3,8;4;4;3;4;3,0;3;3;6,0;6;6;n/a;6;96;4,36;1,0;1;5,0;4;5;6;5;6,5;6;7;5,5;5;6;4,0;4;4;6,0;6;2,5;3;2;57;5,07;7,4;8;6;7;9;9;5,4;5,38;5,0;5;5;5;5,3;5;7;4;4,2;6;4;2;5;4;7,0;7;6;8;;;5,95;4,85;-1,10;ä;4,71;4,36;-0,36;â;5,98;5,07;-0,91;è;;;5;3;4;4;4;4;6;2;Aut.;;;4,60;4;Very limited;4,85;4;Moderate autocracies;4,36;4;Very limited;5,07;3;Moderate;7,4;2;Substantial;5,38;3;Fair
Guinea-Bissau;3;74;5,01;60;5,85;7,0;7;9;9;3;6,3;7;7;6;5;4,0;4;4;4;4;5,0;5;5;7,0;7;7;6;8;100;4,18;1,0;1;3,8;2;4;5;4;6,5;8;5;4,0;4;4;4,5;4;5;6,0;6;3,5;4;3;88;4,30;6,8;8;6;4;9;8;5,5;4,63;4,3;5;4;4;3,3;4;3;3;5,2;6;6;5;5;4;5,7;6;5;6;;;6,25;5,85;-0,40;â;4,39;4,18;-0,21;â;4,60;4,30;-0,31;â;;;7;7;6;5;4;4;5;0;Dem.;;;5,01;4;Very limited;5,85;3;Highly defective democracies;4,18;4;Very limited;4,30;3;Moderate;6,8;2;Substantial;4,63;4;Flawed
Haiti;2;118;3,34;96;3,87;5,3;4;7;9;1;5,0;4;3;7;6;2,8;3;3;2;3;3,0;3;3;3,3;3;3;n/a;4;122;2,82;1,0;1;3,8;3;2;6;4;4,0;5;3;4,0;3;5;3,0;3;3;2,0;2;2,0;2;2;121;2,94;7,5;9;7;7;8;7;7,;3,12;2,7;3;2;3;2,0;2;2;2;3,8;4;4;3;4;4;4,0;4;3;5;;;4,22;3,87;-0,35;â;2,96;2,82;-0,14;â;3,33;2,94;-0,39;â;;;4;3;7;6;3;3;2,5;5;Aut.;;;3,34;5;Failed;3,87;5;Hard-line autocracies;2,82;5;Rudimentary;2,94;5;Failed;7,5;2;Substantial;3,12;4;Flawed
Honduras;2;87;4,71;82;4,42;6,5;5;8;8;5;4,0;5;3;4;4;3,3;3;3;3;4;3,0;3;3;5,3;6;5;n/a;5;79;5,00;3,0;3;6,5;5;6;8;7;6,5;7;6;6,5;6;7;4,0;4;4;5,0;5;3,5;4;3;94;4,00;6,5;7;6;6;7;7;6,1;4,33;3,7;4;3;4;3,3;3;5;2;4,0;4;4;5;3;4;6,3;7;5;7;;;4,67;4,42;-0,25;â;5,21;5,00;-0,21;â;4,33;4,00;-0,33;â;;;5;3;4;4;3;4;5;3;Aut.;;;4,71;4;Very limited;4,42;4;Moderate autocracies;5,00;3;Limited;4,00;4;Weak;6,5;2;Substantial;4,33;4;Flawed
Hungary;1;29;6,62;48;6,35;8,8;10;10;7;8;6,3;6;9;6;4;5,3;4;6;5;6;5,0;5;5;6,5;6;6;8;6;24;6,89;7,0;7;7,3;6;6;10;7;7,0;7;7;7,5;8;7;7,0;7;7;7,0;7;5,5;5;6;102;3,86;2,5;2;3;4;1;1;4,;4,63;5,7;6;6;5;5,0;5;6;4;3,2;4;3;3;4;2;4,7;5;3;6;;;6,80;6,35;-0,45;â;7,18;6,89;-0,29;â;4,13;3,86;-0,27;â;;;6;9;6;4;4;6;9;0;Dem.;;;6,62;3;Limited;6,35;2;Defective democracies;6,89;3;Limited;3,86;4;Weak;2,5;4;Minor;4,63;4;Flawed
India;7;57;5,88;50;6,30;6,8;8;6;6;7;6,3;8;7;5;5;5,8;6;6;6;5;6,5;7;6;6,3;7;5;8;5;65;5,46;4,0;4;6,3;6;7;6;6;5,5;6;5;7,5;7;8;4,5;5;4;6,0;6;4,5;4;5;54;5,15;5,6;6;5;6;7;5;4,8;5,70;5,3;6;5;5;5,7;5;7;5;4,8;6;6;3;5;4;7,0;7;9;5;;;7,25;6,30;-0,95;è;6,14;5,46;-0,68;è;5,92;5,15;-0,77;è;;;8;7;5;5;6;5;7,5;0;Dem.;;;5,88;3;Limited;6,30;2;Defective democracies;5,46;3;Limited;5,15;3;Moderate;5,6;3;Moderate;5,70;3;Fair
Indonesia;7;46;6,14;48;6,35;6,5;7;7;5;7;6,0;8;6;5;5;6,0;8;5;5;6;6,5;7;6;6,8;6;7;7;7;50;5,93;5,0;5;6,5;6;5;7;8;7,5;8;7;6,0;6;6;5,5;6;5;7,0;7;4,0;3;5;52;5,17;5,1;6;6;5;5;4;4,8;5,80;6,0;6;6;6;4,3;5;5;3;5,2;6;5;6;6;3;7,7;7;8;8;;;6,45;6,35;-0,10;â;6,11;5,93;-0,18;â;5,39;5,17;-0,22;â;;;8;6;5;5;8;6;7;0;Dem.;;;6,14;3;Limited;6,35;2;Defective democracies;5,93;3;Limited;5,17;3;Moderate;5,1;3;Moderate;5,80;3;Fair
Iran;4;127;2,83;127;2,88;5,3;7;7;1;6;2,3;3;2;2;2;2,3;3;2;2;2;2,0;2;2;2,7;2;2;n/a;4;125;2,79;3,0;3;2,0;2;2;2;2;2,5;2;3;3,0;3;3;3,0;4;2;3,0;3;3,0;2;4;132;1,70;5,4;7;7;5;5;1;7,3;1,90;2,7;3;2;3;2,0;3;2;1;1,6;2;2;2;1;1;1,3;1;1;2;;;2,88;2,88;0,00;â;2,79;2,79;0,00;â;1,79;1,70;-0,08;â;;;3;2;2;2;3;2;6,5;6;Aut.;;;2,83;5;Failed;2,88;5;Hard-line autocracies;2,79;5;Rudimentary;1,70;5;Failed;5,4;3;Moderate;1,90;5;Poor
Iraq;4;111;3,80;90;4,13;4,5;4;5;5;4;5,0;6;5;6;3;4,5;5;5;5;3;3,0;3;3;3,7;4;4;n/a;3;115;3,46;2,0;2;4,3;4;3;6;4;5,5;6;5;4,0;4;4;3,0;3;3;3,0;3;2,5;2;3;61;4,95;6,9;9;8;8;5;5;6,5;5,32;4,3;4;4;5;4,3;3;6;4;5,6;6;5;6;5;6;7,0;7;6;8;;;3,97;4,13;0,17;â;4,11;3,46;-0,64;è;5,00;4,95;-0,05;â;;;6;5;6;3;5;3;4;2;Aut.;;;3,80;5;Failed;4,13;4;Moderate autocracies;3,46;4;Very limited;4,95;3;Moderate;6,9;2;Substantial;5,32;3;Fair
Jamaica;2;20;7,19;16;8,20;8,8;8;10;9;8;9,5;9;9;10;10;7,3;8;9;5;7;8,5;8;9;7,0;8;7;6;7;38;6,18;5,0;5;6,8;6;5;8;8;8,0;9;7;8,0;8;8;5,5;5;6;5,0;5;5,0;5;5;30;5,79;3,8;4;4;4;5;3;3,;6,71;6,7;7;7;6;4,7;5;5;4;7,5;8;9;7;6;n/a;8,0;8;8;8;;;8,25;8,20;-0,05;â;6,32;6,18;-0,14;â;5,86;5,79;-0,07;â;;;9;9;10;10;8;7;8;0;Dem.;;;7,19;2;Advanced;8,20;1;Democracies in consolidation;6,18;3;Limited;5,79;2;Good;3,8;4;Minor;6,71;2;Sound
Jordan;4;75;4,98;88;4,20;6,8;8;7;6;6;3,5;4;2;4;4;4,3;3;5;4;5;2,5;2;3;4,0;3;4;n/a;5;57;5,75;4,0;4;7,3;6;7;8;8;6,0;8;4;7,5;8;7;5,5;6;5;5,0;5;5,0;5;5;69;4,84;5,4;7;7;5;5;3;5,5;5,38;4,7;4;6;4;5,0;5;6;4;4,2;6;3;5;4;3;7,7;7;8;8;;;4,32;4,20;-0,12;â;5,96;5,75;-0,21;â;4,84;4,84;-0,01;â;;;4;2;4;4;3;5;7;3;Aut.;;;4,98;4;Very limited;4,20;4;Moderate autocracies;5,75;3;Limited;4,84;3;Moderate;5,4;3;Moderate;5,38;3;Fair
Kazakhstan;6;79;4,91;99;3,78;8,3;9;8;9;7;2,5;2;2;4;2;3,5;2;4;4;4;2,0;2;2;2,7;2;3;n/a;3;45;6,04;6,0;6;6,3;6;5;8;6;6,5;6;7;6,0;6;6;6,0;6;6;6,0;6;5,5;5;6;79;4,56;4,4;5;7;5;3;1;5,1;5,22;5,0;5;5;5;5,0;5;6;4;4,2;6;2;6;3;4;6,7;5;7;8;;;3,78;3,78;0,00;â;6,04;6,04;0,00;â;4,54;4,56;0,02;â;;;2;2;4;2;2;4;8;4;Aut.;;;4,91;4;Very limited;3,78;5;Hard-line autocracies;6,04;3;Limited;4,56;3;Moderate;4,4;4;Minor;5,22;3;Fair
Kenya;5;64;5,33;69;4,92;6,0;5;7;7;5;4,5;5;3;5;5;5,8;6;7;4;6;3,0;3;3;5,3;4;6;n/a;6;57;5,75;3,0;3;6,8;5;7;7;8;7,0;7;7;6,5;6;7;5,5;5;6;7,0;7;4,5;4;5;69;4,84;5,9;7;4;5;8;6;5,1;5,33;5,7;6;6;5;4,3;5;4;4;5,0;7;5;5;4;4;6,3;6;7;6;;;4,85;4,92;0,07;â;5,46;5,75;0,29;â;4,77;4,84;0,08;â;;;5;3;5;5;6;6;5;2;Aut.;;;5,33;4;Very limited;4,92;4;Moderate autocracies;5,75;3;Limited;4,84;3;Moderate;5,9;3;Moderate;5,33;3;Fair
Kosovo;1;39;6,33;40;6,70;7,8;9;7;8;7;8,0;9;8;9;6;5,5;5;5;5;7;6,5;6;7;5,8;6;6;6;5;47;5,96;5,0;5;6,8;5;6;9;7;7,0;8;6;7,0;7;7;5,5;5;6;6,0;6;4,5;4;5;41;5,45;4,1;6;4;4;5;1;4,4;6,28;6,0;6;6;6;5,0;5;6;4;6,8;9;7;6;6;6;7,3;7;7;8;;;6,55;6,70;0,15;â;5,86;5,96;0,11;â;5,21;5,45;0,25;â;;;9;8;9;6;5;7;8;0;Dem.;;;6,33;3;Limited;6,70;2;Defective democracies;5,96;3;Limited;5,45;3;Moderate;4,1;4;Minor;6,28;2;Sound
Kuwait;4;59;5,79;76;4,65;7,8;10;7;6;8;3,8;4;3;4;4;4,8;4;5;5;5;3,0;3;3;4,0;2;5;n/a;5;22;6,93;7,0;7;7,0;7;5;8;8;8,5;8;9;7,0;8;6;6,0;7;5;8,0;8;5,0;4;6;68;4,86;3,8;3;6;4;1;4;4,8;5,63;5,0;5;4;6;5,0;5;4;6;5,2;5;4;5;5;7;7,3;6;8;8;;;4,70;4,65;-0,05;â;7,18;6,93;-0,25;â;4,52;4,86;0,33;â;;;4;3;4;4;4;5;9;2;Aut.;;;5,79;3;Limited;4,65;4;Moderate autocracies;6,93;3;Limited;4,86;3;Moderate;3,8;4;Minor;5,63;3;Fair
Kyrgyzstan;6;61;5,49;63;5,55;7,8;8;8;9;6;5,8;6;6;6;5;4,3;5;3;4;5;5,0;4;6;5,0;4;5;6;5;68;5,43;4,0;4;6,5;5;6;8;7;7,5;8;7;6,5;6;7;4,5;4;5;5,0;5;4,0;3;5;85;4,42;5,3;7;5;5;8;2;5,;4,93;4,3;4;4;5;4,0;4;5;3;5,4;7;6;5;6;3;6,0;5;6;7;;;6,10;5,55;-0,55;è;5,64;5,43;-0,21;â;4,56;4,42;-0,14;â;;;6;6;6;5;5;5;7;0;Dem.;;;5,49;4;Very limited;5,55;3;Highly defective democracies;5,43;3;Limited;4,42;3;Moderate;5,3;3;Moderate;4,93;4;Flawed
Laos;7;112;3,73;117;3,18;8,5;8;9;10;7;1,3;1;1;1;2;2,5;2;2;3;3;1,0;1;1;2,7;1;2;n/a;5;99;4,29;4,0;4;5,0;5;3;7;5;5,0;6;4;4,0;3;5;4,0;3;5;5,0;5;3,0;3;3;90;4,23;6,4;6;10;3;7;7;5,5;4,60;5,3;6;5;5;3,3;4;4;2;3,4;4;1;6;2;4;6,3;6;6;7;;;2,97;3,18;0,22;â;4,79;4,29;-0,50;è;3,96;4,23;0,27;â;;;1;1;1;2;2;3;7,5;6;Aut.;;;3,73;5;Failed;3,18;5;Hard-line autocracies;4,29;4;Very limited;4,23;4;Weak;6,4;3;Moderate;4,60;4;Flawed
