"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 12;  Democracy Status 14;  Trend Democracy;;  Economy Status 12;  Economy Status 14;  Trend Economy;;  Governance Index 12;  Governance Index 14;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Croatia;1;13;8,17;14;8,45;9,5;10;9;9;10;8,8;9;9;10;7;8,3;9;8;8;8;8,5;8;9;7,3;7;8;7;7;18;7,89;8,0;8;8,8;8;8;10;9;8,0;9;7;8,5;9;8;8,0;8;8;6,0;6;8,0;8;8;19;6,46;2,0;2;4;2;1;1;2,1;7,85;7,7;8;8;7;7,0;7;6;8;8,4;10;9;8;7;8;8,3;8;8;9;;;8,40;8,45;0,05;â;8,11;7,89;-0,21;â;6,39;6,46;0,07;â;;;9;9;10;7;9;8;10;0;Dem.;;;8,17;2;Advanced;8,45;1;Democracy in consolidation;7,89;2;Advanced;6,46;2;Good;2,0;5;Negligible;7,85;2;Sound
Cuba;2;104;4,13;107;3,62;9,8;10;10;10;9;2,0;1;1;3;3;3,0;1;2;5;4;1,0;1;1;2,3;1;2;n/a;4;93;4,64;6,0;6;2,0;3;2;2;1;4,5;4;5;2,5;3;2;6,5;6;7;5,0;5;6,0;5;7;108;3,67;4,3;6;7;2;5;1;4,6;4,20;4,0;4;4;4;4,7;4;6;4;2,8;2;1;6;3;2;5,3;5;5;6;;;3,42;3,62;0,20;â;4,68;4,64;-0,04;â;3,58;3,67;0,08;â;;;1;1;3;3;1;4;9,5;5;Aut.;;;4,13;4;Very limited;3,62;5;Hard-line autocracy;4,64;4;Very limited;3,67;4;Weak;4,3;4;Minor;4,20;4;Flawed
Czech Republic;1;2;9,51;4;9,60;10,0;10;10;10;10;10,0;10;10;10;10;9,3;10;9;8;10;10,0;10;10;8,8;9;10;8;8;2;9,43;10,0;10;10,0;10;10;10;10;9,5;10;9;10,0;10;10;9,5;10;9;8,0;8;9,0;9;9;17;6,57;1,2;1;2;1;1;1;1,4;8,17;7,3;8;7;7;7,0;7;7;7;9,0;10;10;8;8;9;9,3;9;9;10;;;9,65;9,60;-0,05;â;9,57;9,43;-0,14;â;6,57;6,57;0,00;â;;;10;10;10;10;10;10;10;0;Dem.;;;9,51;1;Highly advanced;9,60;1;Democracy in consolidation;9,43;1;Highly advanced;6,57;2;Good;1,2;5;Negligible;8,17;1;Excellent
Djibouti;5;?;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;;-;-;-;;-;-;-;;;;-;-;-;-;-;-;-;-;;;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;
Dominican Republic;2;43;6,35;32;7,20;8,0;9;7;9;7;8,3;7;9;9;8;5,8;6;6;4;7;7,0;7;7;7,0;7;6;8;7;67;5,50;5,0;5;6,5;6;6;7;7;6,5;7;6;6,5;6;7;4,0;4;4;6,0;6;4,0;4;4;52;5,41;4,4;5;5;3;5;4;4,1;6,18;6,0;6;6;6;4,3;5;6;2;6,4;8;9;7;4;4;8,0;8;8;8;;;7,40;7,20;-0,20;â;5,93;5,50;-0,43;â;5,91;5,41;-0,50;è;;;7;9;9;8;6;7;8;0;Dem.;;;6,35;3;Limited;7,20;2;Defective democracy;5,50;3;Limited;5,41;3;Moderate;4,4;4;Minor;6,18;2;Sound
Ecuador;2;65;5,62;66;5,70;8,0;8;8;9;7;6,8;6;8;8;5;4,8;4;4;4;7;4,5;4;5;4,5;4;4;5;5;65;5,54;5,0;5;5,3;4;5;6;6;6,5;7;6;5,0;5;5;5,0;5;5;7,0;7;5,0;5;5;79;4,57;4,8;6;6;4;5;3;4,6;5,17;5,0;5;6;4;5,0;5;6;4;5,0;4;7;4;5;n/a;5,7;7;4;6;;;5,70;5,70;0,00;â;5,07;5,54;0,46;â;4,37;4,57;0,20;â;;;6;8;8;5;4;7;7,5;0;Dem.;;;5,62;3;Limited;5,70;3;Highly defective democracy;5,54;3;Limited;4,57;3;Moderate;4,8;3;Moderate;5,17;3;Fair
Egypt;4;87;4,82;76;4,92;6,0;7;7;4;6;5,5;7;3;6;6;4,8;6;6;4;3;3,0;3;3;5,3;4;6;n/a;6;88;4,71;3,0;3;6,0;4;7;6;7;6,0;6;6;7,0;7;7;3,0;3;3;4,0;4;4,0;4;4;80;4,52;5,9;7;4;7;7;5;5,6;4,97;4,7;5;5;4;4,0;4;4;4;5,2;7;6;3;4;6;6,0;5;5;8;;;4,08;4,92;0,83;æ;5,43;4,71;-0,71;è;4,23;4,52;0,29;â;;;7;3;6;6;6;3;6,5;2;Aut.;;;4,82;4;Very limited;4,92;4;Moderate autocracy;4,71;4;Very limited;4,52;3;Moderate;5,9;3;Moderate;4,97;4;Flawed
El Salvador;2;25;7,20;29;7,50;8,0;6;9;10;7;8,3;8;9;8;8;6,3;7;6;6;6;8,0;7;9;7,0;8;7;7;6;31;6,89;4,0;4;8,8;9;7;10;9;9,0;9;9;9,0;8;10;5,5;6;5;7,0;7;5,0;5;5;11;6,84;4,8;7;5;3;6;4;3,9;7,73;7,3;7;8;7;6,3;6;8;5;7,6;9;9;7;7;6;9,7;9;10;10;;;7,45;7,50;0,05;â;7,00;6,89;-0,11;â;6,79;6,84;0,05;â;;;8;9;8;8;7;6;6,5;0;Dem.;;;7,20;2;Advanced;7,50;2;Defective democracy;6,89;3;Limited;6,84;2;Good;4,8;3;Moderate;7,73;2;Sound
Equatorial Guinea;3;?;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;;-;-;-;;-;-;-;;;;-;-;-;-;-;-;-;-;;;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;
Eritrea;5;128;1,76;127;2,08;5,5;6;6;7;3;1,0;1;1;1;1;1,3;1;1;2;1;1,0;1;1;1,7;1;1;n/a;3;127;1,43;1,0;1;1,0;1;1;1;1;1,5;1;2;2,0;3;1;1,5;2;1;1,0;1;2,0;2;2;129;1,34;8,6;9;9;6;10;10;7,6;1,38;1,0;1;1;1;1,7;1;3;1;1,2;2;1;1;1;1;1,7;2;1;2;;;2,13;2,08;-0,05;â;1,50;1,43;-0,07;â;1,78;1,34;-0,44;â;;;1;1;1;1;1;1;4,5;6;Aut.;;;1,76;5;Failed;2,08;5;Hard-line autocracy;1,43;5;Rudimentary;1,34;5;Failed;8,6;1;Massive;1,38;5;Poor
Estonia;1;3;9,42;2;9,70;9,5;10;8;10;10;10,0;10;10;10;10;9,8;10;10;9;10;10,0;10;10;9,3;9;9;10;9;3;9,14;8,0;8;10,0;10;10;10;10;9,5;9;10;10,0;10;10;9,0;9;9;9,0;9;8,5;8;9;4;7,26;1,7;2;2;3;1;1;1,4;8,90;8,7;9;9;8;8,7;9;8;9;8,6;9;10;7;9;8;9,7;10;10;9;;;9,55;9,70;0,15;â;9,00;9,14;0,14;â;7,41;7,26;-0,14;â;;;10;10;10;10;10;10;10;0;Dem.;;;9,42;1;Highly advanced;9,70;1;Democracy in consolidation;9,14;1;Highly advanced;7,26;1;Very good;1,7;5;Negligible;8,90;1;Excellent
Eswatini;5;?;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;;-;-;-;;-;-;-;;;;-;-;-;-;-;-;-;-;;;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;
Ethiopia;5;111;3,72;112;3,37;6,5;7;6;7;6;2,0;2;2;2;2;3,0;3;4;3;2;2,0;2;2;3,3;3;3;n/a;4;107;4,07;2,0;2;3,5;3;3;4;4;4,0;4;4;3,5;3;4;4,5;5;4;7,0;7;4,0;4;4;89;4,19;8,2;7;8;8;10;10;6,3;4,37;4,3;4;5;4;4,7;5;6;3;2,8;3;2;4;2;3;5,7;7;5;5;;;3,68;3,37;-0,32;â;3,96;4,07;0,11;â;3,47;4,19;0,73;æ;;;2;2;2;2;3;2;6,5;6;Aut.;;;3,72;5;Failed;3,37;5;Hard-line autocracy;4,07;4;Very limited;4,19;4;Weak;8,2;2;Substantial;4,37;4;Flawed
Gabon;3;?;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;;-;-;-;;-;-;-;;;;-;-;-;-;-;-;-;-;;;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;
Gambia;3;?;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;;-;-;-;;-;-;-;;;;-;-;-;-;-;-;-;-;;;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;
Georgia;6;48;6,16;52;6,50;6,5;5;7;8;6;8,0;8;9;8;7;6,0;6;6;6;6;7,0;6;8;5,0;5;4;7;4;57;5,82;4,0;4;6,8;6;5;9;7;7,0;7;7;6,5;6;7;4,5;5;4;6,0;6;6,0;6;6;41;5,76;5,3;7;7;6;6;1;4,8;6,43;6,0;5;6;7;6,0;5;7;6;6,4;7;7;7;6;5;7,3;7;8;7;;;6,15;6,50;0,35;â;5,61;5,82;0,21;â;5,38;5,76;0,38;â;;;8;9;8;7;6;6;5,5;0;Dem.;;;6,16;3;Limited;6,50;2;Defective democracy;5,82;3;Limited;5,76;2;Good;5,3;3;Moderate;6,43;2;Sound
Ghana;3;23;7,36;17;8,30;8,0;8;9;8;7;9,0;8;9;10;9;7,5;8;8;6;8;9,0;9;9;8,0;8;8;9;7;39;6,43;5,0;5;7,0;7;5;8;8;6,0;5;7;7,5;8;7;6,0;5;7;8,0;8;5,5;5;6;16;6,61;5,0;6;4;4;8;5;3,3;7,43;7,7;7;8;8;6,0;5;7;6;7,4;8;9;7;7;6;8,7;9;9;8;;;8,25;8,30;0,05;â;6,54;6,43;-0,11;â;6,76;6,61;-0,14;â;;;8;9;10;9;8;8;7,5;0;Dem.;;;7,36;2;Advanced;8,30;1;Democracy in consolidation;6,43;3;Limited;6,61;2;Good;5,0;3;Moderate;7,43;2;Sound
Guatemala;2;78;5,15;73;5,20;6,3;4;6;10;5;5,3;6;5;5;5;5,3;6;5;5;5;5,0;5;5;4,3;4;5;4;4;77;5,11;3,0;3;5,8;4;4;9;6;7,0;7;7;5,5;5;6;4,0;4;4;7,0;7;3,5;3;4;70;4,82;6,7;7;6;7;7;8;5,3;5,20;4,7;5;4;5;4,3;4;5;4;4,8;6;4;4;5;5;7,0;7;6;8;;;5,55;5,20;-0,35;â;5,18;5,11;-0,07;â;5,37;4,82;-0,55;è;;;6;5;5;5;6;5;4,5;0;Dem.;;;5,15;4;Very limited;5,20;3;Highly defective democracy;5,11;3;Limited;4,82;3;Moderate;6,7;2;Substantial;5,20;3;Fair
Guinea;3;90;4,66;74;5,10;7,5;8;8;9;5;5,3;5;3;6;7;4,8;4;5;5;5;3,0;3;3;5,0;4;6;n/a;5;101;4,21;1,0;1;5,0;4;5;6;5;6,0;5;7;5,5;5;6;4,0;3;5;4,0;4;4,0;5;3;58;5,15;7,6;8;6;7;10;10;4,9;5,43;4,3;5;4;4;5,3;5;6;5;5,4;5;6;5;6;5;6,7;7;6;7;;;5,63;5,10;-0,53;è;3,46;4,21;0,75;æ;4,98;5,15;0,17;â;;;5;3;6;7;4;5;6,5;2;Aut.;;;4,66;4;Very limited;5,10;4;Moderate autocracy;4,21;4;Very limited;5,15;3;Moderate;7,6;2;Substantial;5,43;3;Fair
Guinea-Bissau;3;?;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;-;-;-;;-;-;-;;-;-;-;;;;-;-;-;-;-;-;-;-;;;;-;-;;-;-;;-;-;;-;-;;-;-;;-;-;
Haiti;2;114;3,58;100;3,92;5,0;2;7;9;2;5,0;5;2;7;6;3,8;4;3;3;5;2,5;3;2;3,3;3;3;n/a;4;118;3,25;1,0;1;3,8;3;2;6;4;5,0;6;4;4,5;4;5;3,0;3;3;3,0;3;2,5;3;2;112;3,51;7,9;9;8;7;9;8;6,6;3,68;2,7;3;2;3;3,0;3;3;3;4,4;5;5;4;4;4;4,7;4;4;6;;;3,67;3,92;0,25;â;3,14;3,25;0,11;â;3,37;3,51;0,15;â;;;5;2;7;6;4;5;2;3;Aut.;;;3,58;5;Failed;3,92;5;Hard-line autocracy;3,25;4;Very limited;3,51;4;Weak;7,9;2;Substantial;3,68;4;Flawed
Honduras;2;55;5,95;44;6,65;7,5;6;9;9;6;7,0;7;7;8;6;5,8;6;6;5;6;7,0;7;7;6,0;7;6;5;6;74;5,25;3,0;3;6,8;5;7;8;7;7,0;8;6;6,5;6;7;4,0;4;4;6,0;6;3,5;4;3;47;5,50;5,6;7;6;4;7;5;4,4;6,10;6,0;7;5;6;4,3;4;6;3;6,4;7;6;7;6;6;7,7;8;7;8;;;6,40;6,65;0,25;â;5,54;5,25;-0,29;â;5,42;5,50;0,08;â;;;7;7;8;6;6;6;6;0;Dem.;;;5,95;3;Limited;6,65;2;Defective democracy;5,25;3;Limited;5,50;3;Moderate;5,6;3;Moderate;6,10;2;Sound
Hungary;1;16;8,05;21;7,95;9,5;10;9;9;10;8,8;9;10;9;7;7,3;6;7;8;8;7,5;7;8;6,8;7;7;7;6;14;8,14;8,0;8;9,5;9;10;10;9;7,0;8;6;9,5;9;10;8,0;8;8;7,0;7;8,0;8;8;63;4,96;1,8;1;2;3;1;1;2,6;6,07;6,0;7;6;5;5,7;5;6;6;6,6;8;8;6;6;5;6,0;7;5;6;;;8,35;7,95;-0,40;â;8,61;8,14;-0,46;â;5,47;4,96;-0,51;è;;;9;10;9;7;6;8;10;0;Dem.;;;8,05;2;Advanced;7,95;2;Defective democracy;8,14;1;Highly advanced;4,96;3;Moderate;1,8;5;Negligible;6,07;2;Sound
India;7;26;7,19;20;8,10;7,8;7;8;9;7;9,3;9;10;10;8;7,5;9;8;6;7;8,5;8;9;7,5;7;8;9;6;45;6,29;4,0;4;7,0;6;7;7;8;7,5;8;7;7,5;8;7;4,5;5;4;8,0;8;5,5;5;6;21;6,35;5,7;5;5;5;8;8;3,4;7,02;7,0;7;7;7;6,0;6;7;5;7,4;9;8;6;8;6;7,7;7;8;8;;;8,20;8,10;-0,10;â;6,54;6,29;-0,25;â;6,67;6,35;-0,32;â;;;9;10;10;8;9;7;7;0;Dem.;;;7,19;2;Advanced;8,10;1;Democracy in consolidation;6,29;3;Limited;6,35;2;Good;5,7;3;Moderate;7,02;2;Sound
Indonesia;7;35;6,67;38;7,05;7,3;8;8;6;7;7,3;9;7;7;6;6,3;9;5;5;6;7,5;7;8;7,0;7;7;7;7;45;6,29;5,0;5;6,5;6;6;6;8;8,0;8;8;6,5;6;7;5,5;6;5;8,0;8;4,5;4;5;40;5,80;5,5;6;6;5;7;5;4,3;6,43;6,0;6;6;6;5,0;5;6;4;6,4;7;7;6;7;5;8,3;7;9;9;;;6,85;7,05;0,20;â;6,21;6,29;0,07;â;5,77;5,80;0,02;â;;;9;7;7;6;9;6;7,5;0;Dem.;;;6,67;3;Limited;7,05;2;Defective democracy;6,29;3;Limited;5,80;2;Good;5,5;3;Moderate;6,43;2;Sound
Iran;4;121;3,07;118;3,13;6,0;9;8;1;6;2,3;3;2;3;1;2,8;4;2;3;2;2,0;2;2;2,7;2;2;n/a;4;119;3,00;4,0;4;2,0;2;2;2;2;2,0;1;3;3,5;4;3;3,0;4;2;3,0;3;3,5;3;4;124;1,92;5,4;6;7;5;4;4;6,6;2,13;2,7;3;2;3;1,7;2;2;1;2,2;2;2;3;2;2;2,0;1;1;4;;;3,25;3,13;-0,12;â;4,04;3,00;-1,04;ä;2,16;1,92;-0,24;â;;;3;2;3;1;4;2;7,5;5;Aut.;;;3,07;5;Failed;3,13;5;Hard-line autocracy;3,00;4;Very limited;1,92;5;Failed;5,4;3;Moderate;2,13;5;Poor
Iraq;4;107;4,07;92;4,10;4,3;4;4;5;4;5,3;7;4;6;4;3,5;5;3;2;4;4,0;4;4;3,5;4;3;4;3;108;4,04;3,0;3;4,3;4;3;6;4;6,5;7;6;4,0;4;4;3,0;3;3;5,0;5;2,5;2;3;95;4,02;7,5;9;8;9;5;7;7,1;4,25;4,3;3;5;5;3,0;3;3;3;4,0;6;5;2;4;3;5,7;6;4;7;;;4,40;4,10;-0,30;â;4,04;4,04;0,00;â;4,07;4,02;-0,05;â;;;7;4;6;4;5;4;4;0;Dem.;;;4,07;4;Very limited;4,10;3;Highly defective democracy;4,04;4;Very limited;4,02;4;Weak;7,5;2;Substantial;4,25;4;Flawed
Jamaica;2;29;7,10;17;8,30;8,8;8;10;9;8;9,5;9;9;10;10;7,3;8;9;5;7;8,5;8;9;7,5;9;7;7;7;53;5,89;5,0;5;6,8;5;5;8;9;7,0;8;6;8,0;8;8;5,5;5;6;4,0;4;5,0;5;5;43;5,65;3,0;4;2;3;5;1;3,;6,69;6,3;6;7;6;4,3;4;5;4;7,8;9;9;7;6;n/a;8,3;8;8;9;;;8,25;8,30;0,05;â;6,29;5,89;-0,39;â;5,69;5,65;-0,05;â;;;9;9;10;10;8;7;8;0;Dem.;;;7,10;2;Advanced;8,30;1;Democracy in consolidation;5,89;3;Limited;5,65;2;Good;3,0;4;Minor;6,69;2;Sound
Jordan;4;80;5,09;92;4,10;6,3;7;6;6;6;4,0;5;2;5;4;4,3;3;5;4;5;2,0;2;2;4,0;2;5;n/a;5;48;6,07;4,0;4;7,0;5;6;8;9;8,0;9;7;7,5;8;7;5,0;5;5;6,0;6;5,0;4;6;76;4,63;5,3;7;6;5;6;2;5,8;5,17;4,0;4;4;4;5,7;7;5;5;4,0;6;4;4;3;3;7,0;7;6;8;;;3,92;4,10;0,18;â;6,14;6,07;-0,07;â;4,43;4,63;0,19;â;;;5;2;5;4;3;5;6,5;3;Aut.;;;5,09;4;Very limited;4,10;4;Moderate autocracy;6,07;3;Limited;4,63;3;Moderate;5,3;3;Moderate;5,17;3;Fair
Kazakhstan;6;81;5,05;102;3,85;8,5;9;8;9;8;2,8;3;2;3;3;3,0;2;4;3;3;2,0;2;2;3,0;2;4;n/a;3;47;6,25;5,0;5;6,8;6;6;7;8;7,5;7;8;6,0;6;6;6,0;6;6;7,0;7;5,5;5;6;74;4,67;4,0;5;7;3;3;1;5,3;5,38;5,0;5;5;5;5,3;5;7;4;4,2;6;3;6;2;4;7,0;6;7;8;;;4,00;3,85;-0,15;â;6,25;6,25;0,00;â;4,71;4,67;-0,04;â;;;3;2;3;3;2;3;8,5;6;Aut.;;;5,05;4;Very limited;3,85;5;Hard-line autocracy;6,25;3;Limited;4,67;3;Moderate;4,0;4;Minor;5,38;3;Fair
Kenya;5;59;5,76;49;6,55;7,0;6;9;8;5;7,3;7;7;7;8;5,8;7;6;4;6;6,5;6;7;6,3;4;7;8;6;81;4,96;2,0;2;6,3;5;6;7;7;7,0;8;6;5,0;4;6;4,0;3;5;6,0;6;4,5;4;5;68;4,87;5,6;7;4;5;8;5;4,6;5,40;5,7;5;6;6;3,7;4;4;3;5,6;7;5;5;5;6;6,7;7;5;8;;;6,35;6,55;0,20;â;4,79;4,96;0,18;â;4,51;4,87;0,36;â;;;7;7;7;8;7;6;5,5;0;Dem.;;;5,76;3;Limited;6,55;2;Defective democracy;4,96;4;Very limited;4,87;3;Moderate;5,6;3;Moderate;5,40;3;Fair
Kosovo;1;47;6,23;46;6,60;7,5;6;7;9;8;7,3;7;7;9;6;5,5;6;5;5;6;6,5;6;7;6,3;7;6;7;5;56;5,86;5,0;5;7,0;5;7;9;7;6,5;8;5;7,0;7;7;5,5;5;6;5,0;5;5,0;5;5;56;5,20;4,4;6;4;5;6;1;4,5;5,93;5,7;6;6;5;4,7;4;6;4;6,4;9;7;6;6;4;7,0;7;6;8;;;6,70;6,60;-0,10;â;5,86;5,86;0,00;â;5,28;5,20;-0,09;â;;;7;7;9;6;6;6;7;0;Dem.;;;6,23;3;Limited;6,60;2;Defective democracy;5,86;3;Limited;5,20;3;Moderate;4,4;4;Minor;5,93;3;Fair
Kuwait;4;53;5,96;81;4,70;7,8;10;7;6;8;4,5;4;2;6;6;5,3;5;4;5;7;2,0;2;2;4,0;2;6;n/a;4;26;7,21;8,0;8;7,0;7;5;8;8;8,0;8;8;7,5;8;7;6,5;7;6;9,0;9;4,5;3;6;86;4,29;3,9;3;6;4;1;5;4,5;4,96;4,3;5;3;5;4,0;5;4;3;4,5;6;3;4;5;n/a;7,0;6;6;9;;;4,95;4,70;-0,25;â;7,14;7,21;0,07;â;4,38;4,29;-0,09;â;;;4;2;6;6;5;7;9;2;Aut.;;;5,96;3;Limited;4,70;4;Moderate autocracy;7,21;2;Advanced;4,29;4;Weak;3,9;4;Minor;4,96;4;Flawed
Kyrgyzstan;6;66;5,61;64;5,80;7,5;7;8;10;5;6,3;6;5;7;7;4,5;6;3;3;6;5,5;4;7;5,3;4;5;7;5;70;5,43;4,0;4;6,5;5;6;9;6;7,5;7;8;6,5;5;8;5,0;5;5;5,0;5;3,5;3;4;74;4,67;5,8;7;6;6;9;2;5,;5,15;4,3;4;4;5;4,0;4;5;3;5,6;7;5;5;7;4;6,7;7;6;7;;;5,43;5,80;0,37;â;5,21;5,43;0,21;â;4,85;4,67;-0,18;â;;;6;5;7;7;6;6;6;0;Dem.;;;5,61;3;Limited;5,80;3;Highly defective democracy;5,43;3;Limited;4,67;3;Moderate;5,8;3;Moderate;5,15;3;Fair
Laos;7;109;3,89;121;2,95;8,5;9;8;10;7;1,0;1;1;1;1;2,3;1;2;3;3;1,0;1;1;2,0;1;1;n/a;4;86;4,82;4,0;4;5,3;5;3;8;5;6,5;7;6;4,0;3;5;3,5;3;4;7,0;7;3,5;4;3;105;3,88;6,8;6;10;3;8;8;5,6;4,18;3,7;4;3;4;3,0;4;3;2;3,4;4;1;6;2;4;6,7;6;6;8;;;2,83;2,95;0,12;â;4,46;4,82;0,36;â;3,79;3,88;0,09;â;;;1;1;1;1;1;3;8;6;Aut.;;;3,89;5;Failed;2,95;5;Hard-line autocracy;4,82;4;Very limited;3,88;4;Weak;6,8;2;Substantial;4,18;4;Flawed
Latvia;1;12;8,41;11;8,75;9,5;10;8;10;10;9,5;9;10;10;9;8,3;9;8;7;9;9,5;9;10;7,0;7;6;8;7;15;8,07;7,0;7;9,0;8;10;10;8;8,5;9;8;9,5;10;9;7,5;7;8;7,0;7;8,0;8;8;12;6,82;2,4;2;4;4;1;1;2,1;8,22;8,7;9;9;8;6,7;7;7;6;8,2;10;9;8;6;8;9,3;9;9;10;;;8,80;8,75;-0,05;â;7,82;8,07;0,25;â;6,81;6,82;0,01;â;;;9;10;10;9;9;9;10;0;Dem.;;;8,41;2;Advanced;8,75;1;Democracy in consolidation;8,07;1;Highly advanced;6,82;2;Good;2,4;5;Negligible;8,22;1;Excellent
Lebanon;4;51;6,00;61;6,00;5,8;3;8;7;5;6,3;7;4;8;6;5,8;6;6;4;7;6,0;6;6;6,3;5;7;7;6;51;6,00;5,0;5;7,0;6;5;8;9;7,0;8;6;7,5;8;7;5,0;4;6;6,0;6;4,5;4;5;97;3,96;4,9;8;3;7;3;3;5,3;4,47;4,7;5;4;5;3,0;3;4;2;4,2;6;4;2;6;3;6,0;5;7;6;;;6,15;6,00;-0,15;â;6,32;6,00;-0,32;â;4,19;3,96;-0,23;â;;;7;4;8;6;6;7;4;0;Dem.;;;6,00;3;Limited;6,00;2;Defective democracy;6,00;3;Limited;3,96;4;Weak;4,9;3;Moderate;4,47;4;Flawed
