year;country_id;free_and_fair_elections;effective_power_to_govern;separation_of_powers;independent_judiciary;prosecution_of_office_abuse;performance_of_democratic_institutions;commitment_to_democratic_institutions;level_of_socioeconomic_development;socioeconomic_barriers;monetary_stability;fiscal_stability;welfare_regime;social_safety_nets;equal_opportunity;economic_performance;output_strength;sustainability;environmental_policy;education_/_r&d_policy;level_of_difficulty;structural_constraints;conflict_intensity;gni_p.c._atlas_method_rescaled;un_educ._index_rescaled;bti_stateness_&_rule_of_law;steering_capability;prioritization;implementation;policy_learning;resource_efficiency;efficient_use_of_assets;policy_coordination;anti-corruption_policy;consensus-building;consensus_on_goals;anti-democratic_actors;cleavage_/_conflict_management;civil_society_participation;reconciliation;international_cooperation;effective_use_of_support;credibility;regional_cooperation
2020;23;9.0;9.0;7.0;6.0;5.0;8.0;10.0;2.0;2.0;8.0;7.0;3.5;3.0;4.0;6.0;6.0;4.5;5.0;4.0;5.3;8.0;2.0;8.0;7.0;3.6;6.3;6.0;6.0;7.0;5.3;5.0;6.0;5.0;7.8;8.0;9.0;8.0;6.0;;7.7;7.0;8.0;8.0
2016;23;8.0;9.0;7.0;6.0;4.0;7.0;9.0;2.0;2.0;8.0;7.0;3.5;3.0;4.0;6.0;6.0;4.0;4.0;4.0;5.6;8.0;2.0;9.0;8.0;3.8;5.3;5.0;5.0;6.0;4.3;4.0;5.0;4.0;7.0;7.0;8.0;9.0;4.0;;7.3;7.0;8.0;7.0
2022;23;6.0;9.0;5.0;6.0;5.0;7.0;6.0;2.0;2.0;8.0;7.0;4.5;4.0;5.0;6.0;6.0;4.5;5.0;4.0;5.5;8.0;3.0;8.0;7.0;4.0;6.0;6.0;6.0;6.0;5.7;6.0;6.0;5.0;7.0;7.0;9.0;6.0;6.0;;7.3;7.0;7.0;8.0
2010;25;7.0;2.0;4.0;4.0;8.0;2.0;2.0;2.0;2.0;3.0;7.0;3.0;3.0;3.0;6.0;6.0;4.5;7.0;2.0;7.1;6.0;5.0;8.0;10.0;4.9;5.0;5.0;5.0;5.0;6.0;5.0;7.0;6.0;4.8;5.0;7.0;5.0;4.0;3.0;8.0;8.0;9.0;7.0
2018;25;8.0;7.0;7.0;7.0;8.0;7.0;7.0;5.0;5.0;5.0;7.0;4.5;4.0;5.0;7.0;7.0;7.0;8.0;6.0;5.8;6.0;3.0;7.0;6.0;3.8;6.7;6.0;7.0;7.0;7.7;7.0;7.0;9.0;6.0;7.0;7.0;7.0;5.0;4.0;8.3;9.0;9.0;7.0
2012;25;7.0;2.0;5.0;6.0;8.0;2.0;2.0;3.0;3.0;3.0;8.0;3.5;3.0;4.0;6.0;6.0;4.5;7.0;2.0;7.1;6.0;5.0;8.0;10.0;4.5;5.0;5.0;5.0;5.0;6.3;6.0;7.0;6.0;5.0;6.0;7.0;5.0;4.0;3.0;8.3;9.0;9.0;7.0
2014;25;8.0;7.0;7.0;7.0;8.0;7.0;7.0;4.0;4.0;4.0;7.0;4.0;3.0;5.0;7.0;7.0;5.5;7.0;4.0;6.7;6.0;4.0;7.0;10.0;4.0;6.3;6.0;7.0;6.0;7.0;7.0;7.0;7.0;5.4;6.0;7.0;7.0;4.0;3.0;8.3;9.0;9.0;7.0
2020;25;8.0;7.0;7.0;7.0;8.0;8.0;8.0;5.0;5.0;5.0;6.0;4.5;4.0;5.0;7.0;7.0;6.0;8.0;4.0;6.0;6.0;2.0;7.0;8.0;3.8;7.3;7.0;8.0;7.0;7.7;7.0;7.0;9.0;6.0;7.0;7.0;7.0;5.0;4.0;8.3;9.0;9.0;7.0
2016;25;8.0;7.0;7.0;7.0;8.0;7.0;7.0;5.0;5.0;5.0;7.0;4.5;4.0;5.0;7.0;7.0;7.0;8.0;6.0;6.3;6.0;4.0;7.0;8.0;3.8;6.7;6.0;7.0;7.0;7.3;7.0;7.0;8.0;6.0;7.0;7.0;7.0;5.0;4.0;8.7;10.0;9.0;7.0
2022;25;8.0;7.0;8.0;7.0;8.0;8.0;8.0;5.0;5.0;5.0;6.0;5.0;5.0;5.0;7.0;7.0;6.0;7.0;5.0;5.6;6.0;2.0;6.0;7.0;3.5;7.3;7.0;8.0;7.0;7.7;7.0;7.0;9.0;6.0;7.0;7.0;7.0;5.0;4.0;8.7;9.0;9.0;8.0
2010;28;9.0;8.0;8.0;6.0;6.0;6.0;5.0;6.0;6.0;9.0;7.0;5.5;6.0;5.0;5.0;5.0;5.5;6.0;5.0;4.4;5.0;5.0;5.0;2.0;4.1;5.0;5.0;5.0;5.0;4.3;4.0;4.0;5.0;5.2;9.0;6.0;2.0;5.0;4.0;6.0;6.0;5.0;7.0
2018;28;7.0;7.0;8.0;5.0;6.0;4.0;4.0;6.0;6.0;9.0;7.0;6.0;7.0;5.0;5.0;5.0;5.0;5.0;5.0;4.5;6.0;5.0;5.0;2.0;4.3;4.3;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.6;7.0;5.0;3.0;5.0;3.0;5.7;5.0;5.0;7.0
2012;28;8.0;8.0;8.0;6.0;6.0;6.0;5.0;6.0;6.0;9.0;8.0;5.5;6.0;5.0;5.0;5.0;5.5;6.0;5.0;4.5;5.0;5.0;5.0;3.0;4.3;4.3;4.0;5.0;4.0;3.7;3.0;4.0;4.0;4.4;7.0;5.0;2.0;5.0;3.0;6.0;6.0;4.0;8.0
2014;28;8.0;8.0;8.0;5.0;6.0;5.0;5.0;6.0;6.0;9.0;7.0;5.5;6.0;5.0;5.0;5.0;5.0;5.0;5.0;4.4;5.0;5.0;5.0;2.0;4.4;4.3;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.4;7.0;5.0;2.0;5.0;3.0;5.3;5.0;4.0;7.0
2020;28;6.0;6.0;7.0;5.0;5.0;4.0;4.0;6.0;6.0;9.0;7.0;6.0;7.0;5.0;6.0;6.0;4.5;4.0;5.0;4.4;5.0;5.0;5.0;2.0;4.6;4.7;5.0;5.0;4.0;3.7;4.0;3.0;4.0;4.0;6.0;5.0;2.0;5.0;2.0;5.0;5.0;4.0;6.0
2016;28;7.0;7.0;8.0;5.0;6.0;5.0;5.0;6.0;6.0;9.0;7.0;6.0;7.0;5.0;5.0;5.0;5.0;5.0;5.0;4.7;6.0;5.0;5.0;3.0;4.3;4.3;4.0;5.0;4.0;4.0;4.0;4.0;4.0;4.6;7.0;5.0;3.0;5.0;3.0;5.7;5.0;5.0;7.0
2022;28;6.0;5.0;7.0;5.0;5.0;4.0;4.0;6.0;6.0;9.0;7.0;5.5;6.0;5.0;5.0;5.0;4.5;4.0;5.0;4.3;5.0;5.0;4.0;2.0;4.6;4.3;4.0;5.0;4.0;4.0;5.0;3.0;4.0;4.0;6.0;5.0;2.0;5.0;2.0;5.0;5.0;4.0;6.0
2010;29;9.0;10.0;8.0;9.0;8.0;9.0;9.0;5.0;5.0;7.0;8.0;6.5;6.0;7.0;8.0;8.0;7.0;7.0;7.0;4.1;6.0;2.0;5.0;4.0;2.6;7.3;8.0;7.0;7.0;8.3;8.0;9.0;8.0;8.5;10.0;9.0;8.0;7.0;;9.0;9.0;9.0;9.0
2018;29;8.0;10.0;7.0;9.0;7.0;9.0;9.0;5.0;5.0;10.0;10.0;7.0;7.0;7.0;8.0;8.0;6.5;7.0;6.0;3.8;5.0;2.0;4.0;3.0;2.6;7.7;8.0;8.0;7.0;8.0;7.0;9.0;8.0;8.3;9.0;9.0;8.0;7.0;;9.0;9.0;9.0;9.0
2012;29;9.0;10.0;7.0;9.0;8.0;8.0;9.0;4.0;4.0;8.0;8.0;7.0;7.0;7.0;8.0;8.0;7.0;7.0;7.0;3.9;5.0;2.0;5.0;3.0;2.4;7.7;8.0;7.0;8.0;8.0;7.0;9.0;8.0;8.3;9.0;9.0;8.0;7.0;;9.0;9.0;9.0;9.0
2014;29;8.0;10.0;7.0;9.0;7.0;9.0;9.0;5.0;5.0;8.0;9.0;7.0;7.0;7.0;8.0;8.0;7.0;7.0;7.0;3.8;5.0;2.0;4.0;3.0;2.5;7.3;8.0;7.0;7.0;8.0;7.0;9.0;8.0;8.3;9.0;9.0;8.0;7.0;;9.0;9.0;9.0;9.0
2020;29;8.0;10.0;8.0;9.0;7.0;9.0;9.0;5.0;5.0;10.0;10.0;7.0;7.0;7.0;8.0;8.0;7.0;8.0;6.0;3.6;5.0;1.0;4.0;3.0;2.4;7.7;8.0;8.0;7.0;8.0;7.0;9.0;8.0;8.5;9.0;10.0;8.0;7.0;;9.7;10.0;10.0;9.0
2016;29;8.0;10.0;7.0;9.0;7.0;9.0;9.0;5.0;5.0;9.0;9.0;7.0;7.0;7.0;8.0;8.0;6.5;7.0;6.0;3.9;5.0;2.0;4.0;4.0;2.5;7.7;8.0;8.0;7.0;7.7;7.0;9.0;7.0;8.3;9.0;9.0;8.0;7.0;;9.0;9.0;9.0;9.0
2022;29;8.0;10.0;8.0;9.0;7.0;9.0;9.0;4.0;4.0;10.0;9.0;6.5;6.0;7.0;6.0;6.0;6.0;6.0;6.0;3.6;5.0;1.0;4.0;3.0;2.5;7.0;8.0;7.0;6.0;7.7;7.0;9.0;7.0;7.8;9.0;9.0;7.0;6.0;;9.3;10.0;9.0;9.0
2010;31;10.0;9.0;9.0;7.0;8.0;8.0;9.0;6.0;6.0;10.0;10.0;7.0;7.0;7.0;9.0;9.0;6.5;6.0;7.0;3.3;5.0;3.0;4.0;2.0;2.9;8.0;9.0;7.0;8.0;7.3;8.0;7.0;7.0;8.4;9.0;8.0;8.0;9.0;8.0;10.0;10.0;10.0;10.0
2018;31;9.0;9.0;9.0;7.0;8.0;7.0;8.0;6.0;6.0;8.0;7.0;7.0;7.0;7.0;5.0;5.0;6.5;6.0;7.0;3.5;5.0;5.0;3.0;2.0;3.0;6.3;6.0;7.0;6.0;6.0;6.0;6.0;6.0;6.8;7.0;8.0;5.0;7.0;7.0;8.7;9.0;8.0;9.0
2012;31;10.0;9.0;9.0;7.0;7.0;8.0;9.0;6.0;6.0;10.0;10.0;7.0;7.0;7.0;9.0;9.0;7.0;7.0;7.0;3.7;5.0;3.0;4.0;4.0;3.0;8.3;9.0;8.0;8.0;7.3;8.0;7.0;7.0;8.4;9.0;8.0;8.0;9.0;8.0;10.0;10.0;10.0;10.0
2014;31;10.0;9.0;9.0;7.0;8.0;8.0;9.0;6.0;6.0;10.0;10.0;7.0;7.0;7.0;8.0;8.0;7.0;7.0;7.0;3.2;5.0;3.0;2.0;3.0;3.0;8.3;9.0;8.0;8.0;7.3;8.0;7.0;7.0;8.6;9.0;9.0;8.0;9.0;8.0;10.0;10.0;10.0;10.0
2020;31;9.0;9.0;9.0;7.0;8.0;7.0;8.0;6.0;6.0;8.0;7.0;6.5;7.0;6.0;6.0;6.0;6.0;5.0;7.0;3.7;5.0;5.0;3.0;3.0;3.3;6.3;6.0;7.0;6.0;6.7;6.0;7.0;7.0;5.6;6.0;8.0;4.0;6.0;4.0;7.3;7.0;7.0;8.0
2016;31;10.0;9.0;9.0;7.0;8.0;8.0;9.0;6.0;6.0;8.0;8.0;7.0;7.0;7.0;6.0;6.0;6.5;6.0;7.0;3.2;5.0;3.0;2.0;3.0;3.0;7.3;8.0;7.0;7.0;7.0;7.0;7.0;7.0;8.2;9.0;9.0;7.0;8.0;8.0;9.3;9.0;9.0;10.0
2022;31;9.0;9.0;9.0;7.0;7.0;6.0;7.0;6.0;6.0;8.0;7.0;6.5;7.0;6.0;5.0;5.0;5.0;4.0;6.0;3.8;5.0;5.0;3.0;3.0;3.6;5.3;5.0;7.0;4.0;6.0;6.0;6.0;6.0;4.2;6.0;7.0;2.0;4.0;2.0;5.0;5.0;5.0;5.0
2010;34;10.0;9.0;9.0;8.0;7.0;9.0;9.0;7.0;7.0;9.0;9.0;7.0;7.0;7.0;8.0;8.0;7.0;8.0;6.0;3.2;4.0;3.0;5.0;1.0;2.0;7.3;8.0;7.0;7.0;7.0;7.0;7.0;7.0;8.4;10.0;9.0;7.0;8.0;8.0;9.0;9.0;8.0;10.0
2018;34;8.0;8.0;8.0;8.0;7.0;7.0;9.0;7.0;7.0;9.0;9.0;7.0;7.0;7.0;6.0;6.0;6.5;7.0;6.0;3.2;4.0;4.0;4.0;1.0;2.4;6.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;7.8;9.0;8.0;7.0;8.0;7.0;8.3;8.0;8.0;9.0
2012;34;9.0;9.0;9.0;8.0;8.0;8.0;9.0;7.0;7.0;9.0;8.0;7.0;7.0;7.0;8.0;8.0;7.0;8.0;6.0;3.1;4.0;3.0;4.0;2.0;1.8;7.3;8.0;7.0;7.0;6.7;7.0;6.0;7.0;8.4;10.0;9.0;7.0;8.0;8.0;9.0;9.0;8.0;10.0
2014;34;8.0;9.0;8.0;8.0;8.0;8.0;9.0;7.0;7.0;9.0;9.0;7.0;7.0;7.0;7.0;7.0;7.5;8.0;7.0;3.2;4.0;4.0;4.0;1.0;2.1;6.7;7.0;7.0;6.0;6.3;7.0;6.0;6.0;8.4;10.0;9.0;7.0;8.0;8.0;8.7;9.0;8.0;9.0
2020;34;8.0;8.0;8.0;8.0;7.0;7.0;9.0;6.0;6.0;10.0;9.0;7.0;7.0;7.0;7.0;7.0;6.5;7.0;6.0;3.3;4.0;4.0;4.0;1.0;2.6;6.0;6.0;6.0;6.0;7.0;7.0;7.0;7.0;7.4;9.0;7.0;7.0;7.0;7.0;8.7;9.0;8.0;9.0
2016;34;8.0;9.0;8.0;8.0;7.0;7.0;9.0;7.0;7.0;9.0;9.0;7.5;7.0;8.0;6.0;6.0;6.5;7.0;6.0;3.4;4.0;4.0;4.0;2.0;2.4;5.7;6.0;6.0;5.0;6.0;6.0;6.0;6.0;8.2;10.0;8.0;7.0;8.0;8.0;8.3;8.0;8.0;9.0
2022;34;8.0;8.0;7.0;7.0;6.0;6.0;8.0;6.0;6.0;10.0;9.0;7.0;7.0;7.0;7.0;7.0;6.5;7.0;6.0;3.2;4.0;4.0;3.0;1.0;3.1;6.0;6.0;6.0;6.0;7.0;7.0;7.0;7.0;7.0;9.0;7.0;6.0;6.0;7.0;7.7;9.0;7.0;7.0
2010;35;6.0;3.0;3.0;4.0;3.0;3.0;3.0;1.0;1.0;7.0;6.0;3.0;3.0;3.0;6.0;6.0;3.0;4.0;2.0;6.8;9.0;2.0;10.0;10.0;5.0;4.3;5.0;4.0;4.0;3.7;3.0;5.0;3.0;5.0;6.0;5.0;6.0;5.0;3.0;8.0;8.0;8.0;8.0
2018;35;7.0;7.0;4.0;5.0;4.0;6.0;6.0;1.0;1.0;8.0;7.0;3.0;3.0;3.0;6.0;6.0;3.0;4.0;2.0;7.1;9.0;6.0;9.0;10.0;4.9;5.0;5.0;5.0;5.0;4.0;3.0;5.0;4.0;5.2;6.0;5.0;5.0;6.0;4.0;8.0;8.0;8.0;8.0
2012;35;6.0;3.0;3.0;4.0;3.0;3.0;3.0;1.0;1.0;8.0;6.0;3.0;3.0;3.0;6.0;6.0;2.5;3.0;2.0;6.7;9.0;2.0;9.0;10.0;5.0;4.3;5.0;4.0;4.0;3.7;3.0;5.0;3.0;4.8;6.0;5.0;6.0;4.0;3.0;7.7;7.0;8.0;8.0
2014;35;6.0;3.0;3.0;4.0;4.0;3.0;3.0;1.0;1.0;8.0;7.0;3.0;3.0;3.0;6.0;6.0;3.5;5.0;2.0;7.0;9.0;4.0;9.0;10.0;5.0;5.0;5.0;5.0;5.0;4.0;3.0;5.0;4.0;4.8;6.0;5.0;5.0;5.0;3.0;7.7;7.0;8.0;8.0
2020;35;7.0;7.0;4.0;4.0;4.0;6.0;6.0;1.0;1.0;8.0;7.0;3.0;3.0;3.0;6.0;6.0;3.0;4.0;2.0;7.4;9.0;7.0;9.0;10.0;5.3;5.0;5.0;5.0;5.0;4.0;3.0;5.0;4.0;5.2;6.0;5.0;5.0;6.0;4.0;8.0;8.0;8.0;8.0
2016;35;2.0;1.0;3.0;4.0;4.0;2.0;3.0;1.0;1.0;8.0;7.0;3.0;3.0;3.0;6.0;6.0;3.5;5.0;2.0;7.2;9.0;6.0;9.0;10.0;5.3;4.7;5.0;5.0;4.0;4.0;3.0;5.0;4.0;5.0;6.0;5.0;4.0;6.0;4.0;7.3;7.0;7.0;8.0
2022;35;7.0;7.0;4.0;4.0;4.0;6.0;6.0;1.0;1.0;8.0;7.0;3.0;3.0;3.0;5.0;5.0;3.0;4.0;2.0;7.5;9.0;7.0;9.0;10.0;5.8;4.7;5.0;5.0;4.0;4.0;3.0;5.0;4.0;5.2;6.0;5.0;5.0;6.0;4.0;8.3;8.0;8.0;9.0
2010;36;8.0;6.0;5.0;4.0;4.0;5.0;5.0;3.0;3.0;5.0;5.0;2.5;2.0;3.0;4.0;4.0;3.5;4.0;3.0;8.1;9.0;7.0;10.0;9.0;5.5;4.3;4.0;4.0;5.0;3.7;5.0;3.0;3.0;5.0;5.0;6.0;6.0;4.0;4.0;6.0;5.0;6.0;7.0
2018;36;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;6.0;6.0;4.0;3.0;5.0;4.0;4.0;3.5;4.0;3.0;8.3;10.0;8.0;10.0;8.0;6.0;4.0;4.0;4.0;4.0;3.0;3.0;4.0;2.0;3.0;4.0;3.0;2.0;2.0;4.0;3.7;5.0;3.0;3.0
2012;36;6.0;6.0;5.0;4.0;4.0;4.0;5.0;2.0;2.0;6.0;6.0;4.0;3.0;5.0;4.0;4.0;4.0;4.0;4.0;8.2;9.0;7.0;10.0;10.0;5.1;4.3;4.0;4.0;5.0;3.7;4.0;4.0;3.0;4.6;5.0;5.0;6.0;3.0;4.0;6.0;6.0;5.0;7.0
2014;36;7.0;3.0;5.0;4.0;4.0;3.0;3.0;2.0;2.0;6.0;6.0;4.0;3.0;5.0;4.0;4.0;4.0;4.0;4.0;8.0;9.0;7.0;10.0;9.0;5.3;4.3;4.0;4.0;5.0;3.3;4.0;4.0;2.0;4.0;5.0;4.0;6.0;2.0;3.0;5.7;5.0;5.0;7.0
2020;36;3.0;3.0;3.0;3.0;2.0;2.0;2.0;1.0;1.0;5.0;6.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;8.2;10.0;7.0;10.0;8.0;6.1;4.0;4.0;4.0;4.0;3.0;3.0;4.0;2.0;2.8;4.0;3.0;2.0;2.0;3.0;3.7;5.0;3.0;3.0
2016;36;6.0;3.0;4.0;4.0;3.0;3.0;3.0;2.0;2.0;6.0;6.0;4.0;3.0;5.0;4.0;4.0;3.5;4.0;3.0;8.1;9.0;7.0;10.0;9.0;5.4;4.0;4.0;4.0;4.0;3.0;3.0;4.0;2.0;4.0;4.0;4.0;5.0;3.0;4.0;6.0;6.0;5.0;7.0
2022;36;3.0;3.0;3.0;3.0;2.0;2.0;2.0;1.0;1.0;5.0;6.0;3.5;3.0;4.0;2.0;2.0;3.0;3.0;3.0;8.4;10.0;7.0;10.0;8.0;6.5;4.0;4.0;4.0;4.0;2.7;3.0;4.0;1.0;2.8;4.0;3.0;2.0;2.0;3.0;4.0;5.0;3.0;4.0
2010;38;5.0;2.0;3.0;3.0;2.0;2.0;2.0;4.0;4.0;6.0;7.0;3.0;3.0;3.0;6.0;6.0;3.0;3.0;3.0;7.0;8.0;4.0;9.0;6.0;5.8;3.3;3.0;4.0;3.0;3.0;3.0;4.0;2.0;4.6;4.0;5.0;6.0;4.0;4.0;5.3;4.0;5.0;7.0
2018;38;3.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;6.0;6.0;3.0;3.0;3.0;7.0;7.0;2.5;2.0;3.0;7.2;8.0;5.0;8.0;7.0;6.1;3.3;4.0;3.0;3.0;2.7;3.0;4.0;1.0;2.8;3.0;2.0;3.0;3.0;3.0;5.0;3.0;5.0;7.0
2012;38;4.0;2.0;2.0;3.0;2.0;2.0;2.0;4.0;4.0;6.0;6.0;3.0;3.0;3.0;6.0;6.0;3.0;3.0;3.0;7.1;8.0;4.0;9.0;7.0;5.8;3.3;3.0;4.0;3.0;3.0;3.0;4.0;2.0;4.0;4.0;3.0;5.0;4.0;4.0;5.3;4.0;6.0;6.0
2014;38;4.0;2.0;2.0;3.0;2.0;2.0;2.0;4.0;4.0;6.0;6.0;3.0;3.0;3.0;6.0;6.0;3.0;3.0;3.0;7.1;8.0;5.0;9.0;6.0;5.9;3.3;4.0;3.0;3.0;3.0;3.0;4.0;2.0;3.6;4.0;3.0;4.0;3.0;4.0;5.0;4.0;5.0;6.0
2020;38;2.0;1.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;7.0;7.0;3.0;3.0;3.0;8.0;8.0;2.5;2.0;3.0;7.2;8.0;5.0;8.0;7.0;6.0;3.0;3.0;3.0;3.0;2.7;3.0;4.0;1.0;2.4;3.0;1.0;3.0;2.0;3.0;5.3;4.0;5.0;7.0
2016;38;3.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;6.0;6.0;3.0;3.0;3.0;7.0;7.0;2.5;2.0;3.0;7.3;8.0;5.0;9.0;7.0;6.0;3.3;4.0;3.0;3.0;3.0;3.0;4.0;2.0;3.2;4.0;3.0;3.0;3.0;3.0;5.0;3.0;5.0;7.0
2022;38;2.0;1.0;1.0;2.0;2.0;2.0;1.0;4.0;4.0;7.0;7.0;3.5;4.0;3.0;7.0;7.0;2.5;2.0;3.0;7.0;7.0;5.0;8.0;7.0;6.3;3.0;3.0;3.0;3.0;2.7;3.0;4.0;1.0;2.4;3.0;1.0;3.0;2.0;3.0;5.0;4.0;5.0;6.0
2010;39;3.0;2.0;4.0;4.0;4.0;2.0;2.0;3.0;3.0;8.0;5.0;4.5;4.0;5.0;6.0;6.0;4.0;4.0;4.0;6.5;6.0;6.0;8.0;6.0;5.9;2.7;2.0;3.0;3.0;3.3;3.0;4.0;3.0;3.4;4.0;4.0;3.0;3.0;3.0;4.7;5.0;5.0;4.0
2018;39;3.0;2.0;3.0;4.0;4.0;2.0;2.0;3.0;3.0;7.0;4.0;4.5;4.0;5.0;6.0;6.0;4.0;4.0;4.0;6.7;6.0;7.0;8.0;6.0;6.0;3.3;3.0;4.0;3.0;3.0;3.0;3.0;3.0;3.6;4.0;3.0;3.0;4.0;4.0;5.0;4.0;6.0;5.0
2012;39;3.0;2.0;4.0;4.0;4.0;2.0;2.0;3.0;3.0;8.0;4.0;4.5;4.0;5.0;5.0;5.0;4.0;4.0;4.0;6.6;6.0;6.0;8.0;7.0;5.9;2.7;2.0;3.0;3.0;3.3;3.0;4.0;3.0;3.4;4.0;4.0;3.0;3.0;3.0;4.7;5.0;5.0;4.0
2014;39;3.0;2.0;4.0;4.0;4.0;2.0;2.0;3.0;3.0;8.0;6.0;4.5;4.0;5.0;6.0;6.0;3.5;3.0;4.0;6.5;6.0;6.0;8.0;6.0;5.9;3.0;3.0;3.0;3.0;3.3;3.0;4.0;3.0;3.4;4.0;4.0;3.0;3.0;3.0;4.7;5.0;5.0;4.0
2020;39;3.0;2.0;3.0;3.0;4.0;2.0;2.0;3.0;3.0;8.0;5.0;4.5;4.0;5.0;6.0;6.0;4.0;4.0;4.0;6.9;6.0;8.0;8.0;6.0;6.5;3.3;3.0;4.0;3.0;3.3;3.0;4.0;3.0;3.6;4.0;3.0;3.0;4.0;4.0;5.3;5.0;6.0;5.0
2016;39;3.0;2.0;3.0;4.0;4.0;2.0;2.0;3.0;3.0;8.0;5.0;4.5;4.0;5.0;6.0;6.0;4.0;4.0;4.0;6.9;6.0;7.0;8.0;7.0;6.1;3.3;3.0;4.0;3.0;3.3;3.0;4.0;3.0;3.6;4.0;3.0;3.0;4.0;4.0;5.3;5.0;6.0;5.0
2022;39;4.0;2.0;3.0;3.0;4.0;2.0;2.0;3.0;3.0;8.0;5.0;4.5;4.0;5.0;6.0;6.0;4.0;4.0;4.0;6.9;6.0;7.0;8.0;6.0;6.6;4.0;4.0;4.0;4.0;3.3;3.0;4.0;3.0;3.6;4.0;3.0;3.0;4.0;4.0;6.0;6.0;6.0;6.0
2010;42;6.0;3.0;5.0;3.0;3.0;2.0;2.0;1.0;1.0;7.0;4.0;2.5;2.0;3.0;6.0;6.0;2.5;3.0;2.0;8.9;10.0;8.0;10.0;10.0;7.4;4.0;4.0;4.0;4.0;3.3;3.0;4.0;3.0;4.6;6.0;4.0;5.0;4.0;4.0;6.3;7.0;6.0;6.0
2018;42;6.0;3.0;5.0;4.0;3.0;2.0;3.0;1.0;1.0;7.0;4.0;2.5;2.0;3.0;4.0;4.0;1.5;2.0;1.0;8.7;10.0;8.0;10.0;9.0;7.4;3.0;3.0;3.0;3.0;3.7;3.0;4.0;4.0;4.2;4.0;3.0;4.0;5.0;5.0;6.0;6.0;6.0;6.0
2012;42;4.0;2.0;5.0;3.0;3.0;2.0;3.0;1.0;1.0;8.0;5.0;2.5;2.0;3.0;6.0;6.0;2.5;3.0;2.0;8.8;10.0;8.0;10.0;10.0;6.9;3.7;4.0;4.0;3.0;3.7;3.0;4.0;4.0;5.0;6.0;4.0;5.0;5.0;5.0;6.7;7.0;6.0;7.0
2014;42;3.0;2.0;4.0;3.0;3.0;2.0;3.0;1.0;1.0;7.0;4.0;2.5;2.0;3.0;5.0;5.0;2.5;3.0;2.0;9.1;10.0;9.0;10.0;10.0;7.6;3.3;3.0;4.0;3.0;3.7;3.0;4.0;4.0;4.2;5.0;3.0;5.0;4.0;4.0;5.7;6.0;5.0;6.0
2020;42;6.0;4.0;4.0;3.0;3.0;2.0;3.0;1.0;1.0;7.0;4.0;2.5;2.0;3.0;4.0;4.0;1.5;2.0;1.0;9.1;10.0;9.0;10.0;10.0;7.6;3.0;3.0;3.0;3.0;3.7;3.0;4.0;4.0;4.0;4.0;3.0;3.0;5.0;5.0;6.0;6.0;6.0;6.0
2016;42;1.0;1.0;5.0;3.0;3.0;2.0;3.0;1.0;1.0;7.0;4.0;2.0;1.0;3.0;2.0;2.0;1.5;2.0;1.0;8.9;10.0;8.0;10.0;10.0;7.6;3.0;2.0;3.0;4.0;3.7;3.0;4.0;4.0;5.2;5.0;3.0;5.0;6.0;7.0;5.7;6.0;5.0;6.0
2022;42;5.0;2.0;4.0;4.0;3.0;2.0;3.0;1.0;1.0;7.0;4.0;2.5;2.0;3.0;3.0;3.0;1.5;2.0;1.0;8.9;10.0;10.0;9.0;9.0;7.5;3.0;3.0;3.0;3.0;3.3;3.0;4.0;3.0;3.6;4.0;3.0;2.0;5.0;4.0;5.7;6.0;5.0;6.0
2010;43;3.0;1.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;6.0;2.0;2.5;3.0;2.0;4.0;4.0;2.5;3.0;2.0;8.7;9.0;8.0;9.0;10.0;7.4;1.3;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.4;2.0;2.0;2.0;3.0;3.0;3.3;3.0;3.0;4.0
2018;43;3.0;2.0;2.0;2.0;3.0;3.0;2.0;1.0;1.0;6.0;3.0;2.5;3.0;2.0;4.0;4.0;2.5;3.0;2.0;8.3;9.0;6.0;9.0;10.0;6.6;2.0;1.0;3.0;2.0;2.3;3.0;2.0;2.0;2.8;2.0;2.0;3.0;3.0;4.0;4.7;4.0;4.0;6.0
2012;43;3.0;1.0;2.0;2.0;3.0;2.0;2.0;1.0;1.0;7.0;3.0;2.5;3.0;2.0;5.0;5.0;2.5;3.0;2.0;8.3;9.0;6.0;9.0;10.0;6.9;2.0;1.0;3.0;2.0;2.3;2.0;2.0;3.0;2.6;2.0;2.0;3.0;3.0;3.0;4.0;4.0;3.0;5.0
2014;43;4.0;2.0;2.0;2.0;3.0;3.0;2.0;1.0;1.0;6.0;3.0;2.5;3.0;2.0;5.0;5.0;2.5;3.0;2.0;8.3;9.0;6.0;9.0;10.0;6.6;2.0;1.0;3.0;2.0;2.3;2.0;2.0;3.0;2.6;2.0;2.0;3.0;3.0;3.0;4.3;4.0;3.0;6.0
