year;country_id;ranking_status_index;status_index;ranking_democracy_status;democracy_status;stateness;monopoly_on_the_use_of_force;state_identity;no_interference_of_religious_dogmas;basic_administration;political_participation;association_/_assembly_rights;freedom_of_expression;rule_of_law;civil_rights;stability_of_democratic_institutions;political_and_social_integration;party_system;interest_groups;approval_of_democracy;social_capital;ranking_economy_status;economy_status;organization_of_the_market_and_competition;market_organization;competition_policy;liberalization_of_foreign_trade;banking_system;monetary_and_fiscal_stability;private_property;property_rights;private_enterprise;ranking_governance_index;governance_index;civil_society_traditions;governance_performance;democracy_status_08;democracy_status_10;trend_democracy;economy_status_08;economy_status_10;trend_economy;governance_index_08;governance_index_10;trend_governance;state_failure;total;democracy/autocracy;status_index_score;status_index_category;status_index_status;democracy_status_score;democracy_status_category;democracy_status_status;economy_status_score;economy_status_category;economy_status_status;governance_index_score;governance_index_category;governance_index_status;level_of_difficulty_score;level_of_difficulty_category;level_of_difficulty_status;governance_performance_score;governance_performance_category;governance_performance_status
2016;39;100.0;4.26;96.0;3.8;6.0;6.0;6.0;7.0;5.0;3.3;5.0;3.0;3.8;4.0;2.0;4.0;4.0;4.0;;4.0;87.0;4.71;5.0;4.0;5.0;5.0;6.0;6.5;4.0;4.0;4.0;106.0;3.63;7.0;3.9;4.08;3.8;-0.28;4.79;4.71;-0.07;3.32;3.63;0.31;5.5;4.0;Aut.;4.26;4.0;Very limited;3.8;5.0;Hard-line autocracy;4.71;4.0;Very limited;3.63;4.0;Weak;6.9;2.0;Substantial;3.9;4.0;Flawed
2022;39;105.0;4.11;107.0;3.62;5.5;5.0;5.0;7.0;5.0;3.0;4.0;2.0;3.3;3.0;2.0;4.3;5.0;4.0;;4.0;88.0;4.61;4.8;4.0;4.0;5.0;6.0;6.5;3.5;3.0;4.0;99.0;3.95;8.0;4.23;3.55;3.62;0.07;4.61;4.61;0.0;3.63;3.95;0.31;5.0;5.0;Aut.;4.11;4.0;Very limited;3.62;5.0;Hard-line autocracies;4.61;4.0;Very limited;3.95;4.0;Weak;6.9;2.0;Substantial;4.23;4.0;Flawed
2010;42;117.0;3.52;106.0;3.58;3.8;2.0;4.0;8.0;1.0;5.0;6.0;5.0;3.5;3.0;2.0;3.7;5.0;3.0;;3.0;118.0;3.46;3.8;3.0;4.0;4.0;4.0;5.5;3.0;3.0;3.0;82.0;4.45;8.0;4.57;3.93;3.58;-0.35;3.82;3.46;-0.36;4.58;4.45;-0.13;1.5;3.0;Aut.;3.52;5.0;Failed;3.58;5.0;Hard-line autocracy;3.46;4.0;Very limited;4.45;3.0;Moderate;8.9;1.0;Massive;4.57;4.0;Flawed
2018;42;117.0;3.28;100.0;3.6;3.5;2.0;3.0;8.0;1.0;5.3;6.0;6.0;3.8;3.0;2.5;3.0;4.0;3.0;;2.0;117.0;2.96;3.3;2.0;4.0;3.0;4.0;5.5;3.0;3.0;3.0;88.0;4.1;8.0;4.22;3.2;3.6;0.4;2.57;2.96;0.39;4.28;4.1;-0.18;1.5;3.0;Aut.;3.28;5.0;Failed;3.6;5.0;Hard-line autocracy;2.96;5.0;Rudimentary;4.1;4.0;Weak;8.7;1.0;Massive;4.22;4.0;Flawed
2012;42;111.0;3.7;103.0;3.78;4.8;3.0;6.0;8.0;2.0;4.5;7.0;5.0;3.5;3.0;2.5;3.7;4.0;3.0;;4.0;116.0;3.61;3.8;3.0;4.0;4.0;4.0;6.5;3.0;3.0;3.0;77.0;4.62;8.0;4.75;3.58;3.78;0.2;3.46;3.61;0.14;4.45;4.62;0.17;2.5;4.0;Aut.;3.7;5.0;Failed;3.78;5.0;Hard-line autocracy;3.61;4.0;Very limited;4.62;3.0;Moderate;8.8;1.0;Massive;4.75;4.0;Flawed
2014;42;117.0;3.32;114.0;3.32;3.5;1.0;4.0;8.0;1.0;4.0;5.0;6.0;3.3;3.0;2.5;3.3;4.0;3.0;;3.0;116.0;3.32;3.8;3.0;4.0;4.0;4.0;5.5;3.0;3.0;3.0;93.0;4.13;8.0;4.22;3.78;3.32;-0.47;3.61;3.32;-0.29;4.62;4.13;-0.49;1.0;4.0;Aut.;3.32;5.0;Failed;3.32;5.0;Hard-line autocracy;3.32;4.0;Very limited;4.13;4.0;Weak;9.1;1.0;Massive;4.22;4.0;Flawed
2020;42;121.0;3.28;108.0;3.55;3.5;2.0;3.0;8.0;1.0;5.5;6.0;6.0;3.3;3.0;2.5;3.0;4.0;3.0;;2.0;123.0;3.0;3.5;3.0;4.0;3.0;4.0;5.5;3.0;3.0;3.0;94.0;4.08;8.0;4.17;3.6;3.55;-0.05;2.96;3.0;0.04;4.1;4.08;-0.01;1.5;2.0;Aut.;3.28;5.0;Failed;3.55;5.0;Hard-line autocracies;3.0;4.0;Very limited;4.08;4.0;Weak;9.1;1.0;Massive;4.17;4.0;Flawed
2016;42;122.0;2.89;115.0;3.2;3.3;2.0;3.0;7.0;1.0;3.8;6.0;7.0;3.5;3.0;2.5;3.0;4.0;3.0;;2.0;123.0;2.57;3.0;2.0;4.0;3.0;3.0;5.5;3.0;3.0;3.0;86.0;4.28;8.0;4.38;3.32;3.2;-0.12;3.32;2.57;-0.75;4.13;4.28;0.15;1.5;4.0;Aut.;2.89;5.0;Failed;3.2;5.0;Hard-line autocracy;2.57;5.0;Rudimentary;4.28;4.0;Weak;8.9;1.0;Massive;4.38;4.0;Flawed
2022;42;123.0;3.11;113.0;3.4;3.5;2.0;3.0;8.0;1.0;4.5;6.0;5.0;3.5;3.0;2.5;3.0;4.0;3.0;;2.0;122.0;2.82;3.3;2.0;4.0;3.0;4.0;5.5;3.0;3.0;3.0;105.0;3.81;8.0;3.9;3.55;3.4;-0.15;3.0;2.82;-0.18;4.08;3.81;-0.28;1.5;4.0;Aut.;3.11;5.0;Failed;3.4;5.0;Hard-line autocracies;2.82;5.0;Rudimentary;3.81;4.0;Weak;8.9;1.0;Massive;3.9;4.0;Flawed
2010;43;122.0;3.01;122.0;2.83;5.5;4.0;8.0;8.0;2.0;2.3;3.0;2.0;1.8;2.0;2.0;2.7;2.0;3.0;;3.0;120.0;3.18;4.8;3.0;6.0;5.0;5.0;4.0;3.5;3.0;4.0;121.0;2.2;9.0;2.27;2.83;2.83;0.0;3.64;3.18;-0.46;2.61;2.2;-0.41;3.0;6.0;Aut.;3.01;5.0;Failed;2.83;5.0;Hard-line autocracy;3.18;4.0;Very limited;2.2;5.0;Failed;8.7;1.0;Massive;2.27;5.0;Poor
2018;43;115.0;3.31;106.0;3.45;6.5;7.0;8.0;8.0;3.0;3.0;4.0;3.0;2.3;2.0;2.5;3.0;3.0;3.0;;3.0;115.0;3.18;4.3;3.0;4.0;5.0;5.0;4.5;3.5;3.0;4.0;116.0;2.84;9.0;2.95;3.5;3.45;-0.05;3.5;3.18;-0.32;2.79;2.84;0.05;5.0;5.0;Aut.;3.31;5.0;Failed;3.45;5.0;Hard-line autocracy;3.18;4.0;Very limited;2.84;5.0;Failed;8.3;2.0;Substantial;2.95;5.0;Poor
2012;43;120.0;3.32;116.0;3.13;6.0;6.0;8.0;8.0;2.0;2.8;4.0;3.0;2.3;2.0;2.0;2.7;2.0;3.0;;3.0;117.0;3.5;5.0;3.0;6.0;6.0;5.0;5.0;3.5;3.0;4.0;117.0;2.63;9.0;2.73;2.83;3.13;0.3;3.18;3.5;0.32;2.2;2.63;0.43;4.0;5.0;Aut.;3.32;5.0;Failed;3.13;5.0;Hard-line autocracy;3.5;4.0;Very limited;2.63;5.0;Failed;8.3;2.0;Substantial;2.73;5.0;Poor
2014;43;116.0;3.44;111.0;3.45;6.5;7.0;8.0;8.0;3.0;3.0;4.0;2.0;2.3;2.0;2.5;3.0;3.0;3.0;;3.0;114.0;3.43;5.0;3.0;6.0;6.0;5.0;4.5;3.5;3.0;4.0;120.0;2.71;9.0;2.82;3.13;3.45;0.32;3.5;3.43;-0.07;2.63;2.71;0.08;5.0;5.0;Aut.;3.44;5.0;Failed;3.45;5.0;Hard-line autocracy;3.43;4.0;Very limited;2.71;5.0;Failed;8.3;2.0;Substantial;2.82;5.0;Poor
2020;43;125.0;3.15;123.0;2.93;6.0;7.0;8.0;7.0;2.0;2.8;3.0;3.0;1.8;2.0;1.5;2.7;2.0;3.0;;3.0;118.0;3.36;4.0;3.0;4.0;4.0;5.0;5.0;3.5;3.0;4.0;126.0;2.55;9.0;2.65;3.45;2.93;-0.52;3.18;3.36;0.18;2.84;2.55;-0.28;4.5;6.0;Aut.;3.15;5.0;Failed;2.93;5.0;Hard-line autocracies;3.36;4.0;Very limited;2.55;5.0;Failed;8.4;2.0;Substantial;2.65;5.0;Poor
2016;43;113.0;3.5;104.0;3.5;6.5;7.0;8.0;8.0;3.0;3.3;4.0;3.0;2.3;2.0;2.5;3.0;3.0;3.0;;3.0;114.0;3.5;5.0;3.0;6.0;6.0;5.0;4.5;3.5;3.0;4.0;117.0;2.79;9.0;2.9;3.45;3.5;0.05;3.43;3.5;0.07;2.71;2.79;0.08;5.0;5.0;Aut.;3.5;5.0;Failed;3.5;5.0;Hard-line autocracy;3.5;4.0;Very limited;2.79;5.0;Failed;8.3;2.0;Substantial;2.9;5.0;Poor
2022;43;124.0;3.07;124.0;3.0;6.0;7.0;8.0;7.0;2.0;2.3;2.0;2.0;2.3;3.0;1.5;3.0;2.0;3.0;;4.0;121.0;3.14;4.0;3.0;4.0;4.0;5.0;5.0;3.5;3.0;4.0;126.0;2.63;9.0;2.73;2.93;3.0;0.07;3.36;3.14;-0.21;2.55;2.63;0.08;4.5;6.0;Aut.;3.07;5.0;Failed;3.0;5.0;Hard-line autocracies;3.14;4.0;Very limited;2.63;5.0;Failed;8.3;2.0;Substantial;2.73;5.0;Poor
2010;44;9.0;8.99;8.0;9.3;9.8;10.0;10.0;9.0;10.0;9.8;10.0;10.0;9.3;9.0;10.0;7.8;9.0;8.0;7.0;7.0;10.0;8.68;9.8;10.0;9.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;7.38;3.0;8.92;9.3;9.3;0.0;8.68;8.68;0.0;7.55;7.38;-0.17;10.0;0.0;Dem.;8.99;1.0;Highly advanced;9.3;1.0;Democracy in consolidation;8.68;1.0;Highly advanced;7.38;1.0;Very good;2.3;5.0;Negligible;8.92;1.0;Excellent
2018;44;7.0;8.87;7.0;9.2;9.8;9.0;10.0;10.0;10.0;9.5;10.0;10.0;9.5;9.0;10.0;7.3;7.0;8.0;7.0;7.0;11.0;8.54;9.8;10.0;9.0;10.0;10.0;10.0;10.0;10.0;10.0;3.0;7.33;3.0;8.9;9.15;9.2;0.05;8.39;8.54;0.14;7.51;7.33;-0.18;9.5;0.0;Dem.;8.87;1.0;Highly advanced;9.2;1.0;Democracy in consolidation;8.54;1.0;Highly advanced;7.33;1.0;Very good;2.1;5.0;Negligible;8.9;1.0;Excellent
2012;44;9.0;8.87;8.0;9.2;9.8;10.0;10.0;9.0;10.0;9.5;9.0;10.0;9.3;9.0;10.0;7.5;8.0;8.0;7.0;7.0;12.0;8.54;9.8;10.0;9.0;10.0;10.0;10.0;10.0;10.0;10.0;5.0;7.22;3.0;8.72;9.3;9.2;-0.1;8.68;8.54;-0.14;7.38;7.22;-0.17;10.0;0.0;Dem.;8.87;1.0;Highly advanced;9.2;1.0;Democracy in consolidation;8.54;1.0;Highly advanced;7.22;1.0;Very good;2.3;5.0;Negligible;8.72;1.0;Excellent
2014;44;8.0;8.82;9.0;9.1;9.8;10.0;10.0;9.0;10.0;9.0;9.0;9.0;9.3;9.0;10.0;7.5;8.0;8.0;7.0;7.0;10.0;8.54;9.8;10.0;9.0;10.0;10.0;10.0;10.0;10.0;10.0;4.0;7.26;3.0;8.77;9.2;9.1;-0.1;8.54;8.54;0.0;7.22;7.26;0.04;10.0;0.0;Dem.;8.82;1.0;Highly advanced;9.1;1.0;Democracy in consolidation;8.54;1.0;Highly advanced;7.26;1.0;Very good;2.3;5.0;Negligible;8.77;1.0;Excellent
2020;44;7.0;8.86;6.0;9.3;9.8;9.0;10.0;10.0;10.0;10.0;10.0;10.0;9.5;9.0;10.0;7.3;7.0;8.0;7.0;7.0;10.0;8.43;9.5;9.0;9.0;10.0;10.0;9.5;10.0;10.0;10.0;3.0;7.33;3.0;8.9;9.2;9.3;0.1;8.54;8.43;-0.11;7.33;7.33;0.0;9.5;0.0;Dem.;8.86;1.0;Highly advanced;9.3;1.0;Democracies in consolidation;8.43;1.0;Highly advanced;7.33;1.0;Very good;2.1;5.0;Negligible;8.9;1.0;Excellent
2016;44;8.0;8.77;9.0;9.15;9.8;10.0;10.0;9.0;10.0;9.3;10.0;9.0;9.3;9.0;10.0;7.5;8.0;8.0;7.0;7.0;12.0;8.39;9.3;9.0;8.0;10.0;10.0;10.0;10.0;10.0;10.0;2.0;7.51;3.0;9.07;9.1;9.15;0.05;8.54;8.39;-0.14;7.26;7.51;0.25;10.0;0.0;Dem.;8.77;1.0;Highly advanced;9.15;1.0;Democracy in consolidation;8.39;1.0;Highly advanced;7.51;1.0;Very good;2.3;5.0;Negligible;9.07;1.0;Excellent
2022;44;9.0;8.74;6.0;9.2;9.8;9.0;10.0;10.0;10.0;9.8;9.0;10.0;9.5;8.0;10.0;7.0;6.0;8.0;7.0;7.0;11.0;8.29;9.5;9.0;9.0;10.0;10.0;9.0;10.0;10.0;10.0;4.0;7.15;3.0;8.6;9.3;9.2;-0.1;8.43;8.29;-0.14;7.33;7.15;-0.18;9.5;0.0;Dem.;8.74;1.0;Highly advanced;9.2;1.0;Democracies in consolidation;8.29;1.0;Highly advanced;7.15;1.0;Very good;2.4;5.0;Negligible;8.6;1.0;Excellent
2010;45;86.0;4.79;113.0;3.37;8.8;9.0;8.0;10.0;8.0;2.0;2.0;2.0;2.3;2.0;1.5;2.3;1.0;2.0;;4.0;49.0;6.21;6.5;6.0;6.0;8.0;6.0;7.0;6.0;6.0;6.0;63.0;5.0;9.0;5.52;3.15;3.37;0.22;6.25;6.21;-0.04;4.86;5.0;0.13;8.5;6.0;Aut.;4.79;4.0;Very limited;3.37;5.0;Hard-line autocracy;6.21;3.0;Limited;5.0;3.0;Moderate;5.8;3.0;Moderate;5.52;3.0;Fair
2018;45;81.0;5.02;109.0;3.28;8.8;9.0;8.0;10.0;8.0;1.8;2.0;2.0;2.3;2.0;1.0;2.7;1.0;2.0;;5.0;30.0;6.75;6.8;6.0;7.0;8.0;6.0;8.0;6.0;6.0;6.0;71.0;4.79;9.0;5.33;3.28;3.28;0.0;6.61;6.75;0.14;4.73;4.79;0.06;8.5;6.0;Aut.;5.02;4.0;Very limited;3.28;5.0;Hard-line autocracy;6.75;3.0;Limited;4.79;3.0;Moderate;5.4;3.0;Moderate;5.33;3.0;Fair
2012;45;82.0;4.94;113.0;3.32;8.8;9.0;8.0;10.0;8.0;1.8;2.0;2.0;2.3;2.0;1.5;2.3;1.0;2.0;;4.0;38.0;6.57;6.5;6.0;6.0;8.0;6.0;7.0;6.0;6.0;6.0;64.0;5.04;9.0;5.52;3.37;3.32;-0.05;6.21;6.57;0.36;5.0;5.04;0.04;8.5;6.0;Aut.;4.94;4.0;Very limited;3.32;5.0;Hard-line autocracy;6.57;3.0;Limited;5.04;3.0;Moderate;6.1;3.0;Moderate;5.52;3.0;Fair
2014;45;82.0;5.01;113.0;3.33;8.8;9.0;8.0;10.0;8.0;1.8;2.0;2.0;2.0;2.0;1.5;2.7;1.0;2.0;;5.0;35.0;6.68;6.8;6.0;7.0;8.0;6.0;7.5;6.0;6.0;6.0;66.0;4.92;9.0;5.43;3.32;3.33;0.02;6.57;6.68;0.11;5.04;4.92;-0.11;8.5;6.0;Aut.;5.01;4.0;Very limited;3.33;5.0;Hard-line autocracy;6.68;3.0;Limited;4.92;3.0;Moderate;5.8;3.0;Moderate;5.43;3.0;Fair
2020;45;81.0;5.04;114.0;3.33;8.8;9.0;8.0;10.0;8.0;1.8;2.0;2.0;2.5;2.0;1.0;2.7;1.0;2.0;;5.0;30.0;6.75;6.8;6.0;7.0;8.0;6.0;8.0;6.0;6.0;6.0;77.0;4.71;9.0;5.25;3.28;3.33;0.05;6.75;6.75;0.0;4.79;4.71;-0.08;8.5;6.0;Aut.;5.04;4.0;Very limited;3.33;5.0;Hard-line autocracies;6.75;3.0;Limited;4.71;3.0;Moderate;5.4;3.0;Moderate;5.25;3.0;Fair
2016;45;84.0;4.95;111.0;3.28;8.8;9.0;8.0;10.0;8.0;1.8;2.0;2.0;2.3;2.0;1.0;2.7;1.0;2.0;;5.0;32.0;6.61;6.8;6.0;7.0;8.0;6.0;7.5;6.0;6.0;6.0;75.0;4.73;9.0;5.25;3.33;3.28;-0.05;6.68;6.61;-0.07;4.92;4.73;-0.19;8.5;6.0;Aut.;4.95;4.0;Very limited;3.28;5.0;Hard-line autocracy;6.61;3.0;Limited;4.73;3.0;Moderate;5.6;3.0;Moderate;5.25;3.0;Fair
2022;45;78.0;4.94;116.0;3.23;8.5;9.0;7.0;10.0;8.0;1.5;2.0;1.0;2.5;2.0;1.0;2.7;1.0;2.0;;5.0;29.0;6.64;6.5;6.0;7.0;7.0;6.0;7.5;6.0;6.0;6.0;48.0;5.29;9.0;5.92;3.33;3.23;-0.1;6.75;6.64;-0.11;4.71;5.29;0.58;8.5;6.0;Aut.;4.94;4.0;Very limited;3.23;5.0;Hard-line autocracies;6.64;3.0;Limited;5.29;3.0;Moderate;5.3;3.0;Moderate;5.92;3.0;Fair
2010;48;43.0;6.33;60.0;5.95;6.8;5.0;7.0;9.0;6.0;6.3;7.0;6.0;5.3;5.0;6.0;5.5;5.0;6.0;7.0;4.0;36.0;6.71;7.5;7.0;7.0;8.0;8.0;8.5;7.5;7.0;8.0;57.0;5.36;4.0;5.98;5.75;5.95;0.2;6.68;6.71;0.04;5.14;5.36;0.23;5.5;0.0;Dem.;6.33;3.0;Limited;5.95;3.0;Highly defective democracy;6.71;3.0;Limited;5.36;3.0;Moderate;5.3;3.0;Moderate;5.98;3.0;Fair
2018;48;34.0;6.59;38.0;6.75;7.3;7.0;8.0;8.0;6.0;7.0;7.0;7.0;6.5;6.0;7.5;5.5;5.0;6.0;6.0;5.0;38.0;6.43;7.5;7.0;7.0;8.0;8.0;8.0;7.5;7.0;8.0;20.0;6.14;5.0;6.93;6.65;6.75;0.1;6.64;6.43;-0.21;6.13;6.14;0.01;6.5;0.0;Dem.;6.59;3.0;Limited;6.75;2.0;Defective democracy;6.43;3.0;Limited;6.14;2.0;Good;4.9;3.0;Moderate;6.93;2.0;Sound
2012;48;41.0;6.28;62.0;6.05;7.0;6.0;7.0;9.0;6.0;6.3;7.0;6.0;5.5;5.0;6.0;5.5;5.0;6.0;6.0;5.0;41.0;6.5;7.0;6.0;7.0;7.0;8.0;8.5;7.5;7.0;8.0;52.0;5.4;5.0;5.98;5.95;6.05;0.1;6.71;6.5;-0.21;5.36;5.4;0.04;6.0;0.0;Dem.;6.28;3.0;Limited;6.05;2.0;Defective democracy;6.5;3.0;Limited;5.4;3.0;Moderate;5.6;3.0;Moderate;5.98;3.0;Fair
2014;48;37.0;6.56;49.0;6.55;7.3;6.0;8.0;9.0;6.0;6.3;7.0;6.0;6.5;6.0;7.0;5.8;5.0;6.0;7.0;5.0;36.0;6.57;7.5;7.0;7.0;8.0;8.0;8.5;7.5;7.0;8.0;37.0;5.88;5.0;6.58;6.05;6.55;0.5;6.5;6.57;0.07;5.4;5.88;0.48;6.0;0.0;Dem.;6.56;3.0;Limited;6.55;2.0;Defective democracy;6.57;3.0;Limited;5.88;2.0;Good;5.2;3.0;Moderate;6.58;2.0;Sound
2020;48;36.0;6.67;44.0;6.7;7.3;7.0;8.0;8.0;6.0;7.0;7.0;7.0;6.3;6.0;7.5;5.5;5.0;6.0;6.0;5.0;32.0;6.64;7.5;7.0;7.0;8.0;8.0;8.5;7.5;7.0;8.0;40.0;5.71;5.0;6.42;6.75;6.7;-0.05;6.43;6.64;0.21;6.14;5.71;-0.43;6.5;0.0;Dem.;6.67;3.0;Limited;6.7;2.0;Defective democracies;6.64;3.0;Limited;5.71;2.0;Good;5.0;3.0;Moderate;6.42;2.0;Sound
2016;48;34.0;6.65;44.0;6.65;7.3;6.0;8.0;9.0;6.0;6.8;7.0;7.0;6.5;6.0;7.0;5.8;6.0;6.0;6.0;5.0;31.0;6.64;7.5;7.0;7.0;8.0;8.0;8.5;8.0;7.0;9.0;28.0;6.13;5.0;6.83;6.55;6.65;0.1;6.57;6.64;0.07;5.88;6.13;0.25;6.0;0.0;Dem.;6.65;3.0;Limited;6.65;2.0;Defective democracy;6.64;3.0;Limited;6.13;2.0;Good;5.4;3.0;Moderate;6.83;2.0;Sound
2022;48;35.0;6.45;47.0;6.4;7.0;6.0;8.0;8.0;6.0;6.8;6.0;7.0;5.8;5.0;7.0;5.5;5.0;6.0;6.0;5.0;31.0;6.5;7.5;7.0;7.0;8.0;8.0;8.5;7.5;7.0;8.0;50.0;5.24;5.0;5.88;6.7;6.4;-0.3;6.64;6.5;-0.14;5.71;5.24;-0.47;6.0;0.0;Dem.;6.45;3.0;Limited;6.4;2.0;Defective democracies;6.5;3.0;Limited;5.24;3.0;Moderate;5.1;3.0;Moderate;5.88;3.0;Fair
2010;53;10.0;8.86;6.0;9.4;10.0;10.0;10.0;10.0;10.0;9.8;9.0;10.0;9.5;10.0;9.0;8.8;8.0;9.0;10.0;8.0;13.0;8.32;8.8;9.0;8.0;10.0;8.0;8.5;8.5;9.0;8.0;15.0;6.66;2.0;8.02;9.5;9.4;-0.1;7.96;8.32;0.36;6.73;6.66;-0.07;10.0;0.0;Dem.;8.86;1.0;Highly advanced;9.4;1.0;Democracy in consolidation;8.32;1.0;Highly advanced;6.66;2.0;Good;2.4;5.0;Negligible;8.02;1.0;Excellent
2018;53;12.0;8.49;8.0;9.05;9.3;9.0;10.0;9.0;9.0;10.0;10.0;10.0;9.5;9.0;8.5;8.0;7.0;9.0;8.0;8.0;17.0;7.93;8.5;8.0;8.0;10.0;8.0;8.5;9.0;9.0;9.0;9.0;6.85;2.0;8.31;9.2;9.05;-0.15;7.79;7.93;0.14;6.93;6.85;-0.08;9.0;0.0;Dem.;8.49;2.0;Advanced;9.05;1.0;Democracy in consolidation;7.93;2.0;Advanced;6.85;2.0;Good;2.1;5.0;Negligible;8.31;1.0;Excellent
2012;53;10.0;8.84;6.0;9.4;10.0;10.0;10.0;10.0;10.0;9.8;9.0;10.0;9.5;10.0;9.0;8.8;7.0;9.0;10.0;9.0;13.0;8.29;8.5;8.0;8.0;10.0;8.0;9.0;9.0;9.0;9.0;10.0;6.98;2.0;8.33;9.4;9.4;0.0;8.32;8.29;-0.04;6.66;6.98;0.32;10.0;0.0;Dem.;8.84;1.0;Highly advanced;9.4;1.0;Democracy in consolidation;8.29;1.0;Highly advanced;6.98;2.0;Good;2.7;4.0;Minor;8.33;1.0;Excellent
2014;53;10.0;8.74;6.0;9.3;10.0;10.0;10.0;10.0;10.0;9.8;9.0;10.0;9.3;10.0;9.0;8.5;7.0;9.0;9.0;9.0;13.0;8.18;8.8;9.0;8.0;10.0;8.0;9.0;9.0;9.0;9.0;12.0;6.82;2.0;8.17;9.4;9.3;-0.1;8.29;8.18;-0.11;6.98;6.82;-0.17;10.0;0.0;Dem.;8.74;1.0;Highly advanced;9.3;1.0;Democracy in consolidation;8.18;1.0;Highly advanced;6.82;2.0;Good;2.6;4.0;Minor;8.17;1.0;Excellent
2020;53;11.0;8.49;8.0;9.05;9.3;9.0;10.0;9.0;9.0;10.0;10.0;10.0;9.5;9.0;9.0;7.5;6.0;9.0;8.0;7.0;14.0;7.93;8.5;8.0;8.0;10.0;8.0;8.5;9.0;9.0;9.0;9.0;6.92;2.0;8.4;9.05;9.05;0.0;7.93;7.93;0.0;6.85;6.92;0.07;9.0;0.0;Dem.;8.49;2.0;Advanced;9.05;1.0;Democracies in consolidation;7.93;2.0;Advanced;6.92;2.0;Good;2.1;5.0;Negligible;8.4;1.0;Excellent
2016;53;12.0;8.49;7.0;9.2;9.8;10.0;10.0;9.0;10.0;10.0;10.0;10.0;9.0;9.0;9.0;8.3;7.0;9.0;8.0;9.0;16.0;7.79;8.5;8.0;8.0;10.0;8.0;8.5;9.0;9.0;9.0;10.0;6.93;2.0;8.33;9.3;9.2;-0.1;8.18;7.79;-0.39;6.82;6.93;0.12;10.0;0.0;Dem.;8.49;2.0;Advanced;9.2;1.0;Democracy in consolidation;7.79;2.0;Advanced;6.93;2.0;Good;2.4;5.0;Negligible;8.33;1.0;Excellent
2022;53;11.0;8.37;7.0;9.1;9.3;9.0;10.0;9.0;9.0;10.0;10.0;10.0;9.5;9.0;9.0;7.8;6.0;9.0;8.0;8.0;17.0;7.64;8.5;8.0;8.0;10.0;8.0;8.0;9.0;9.0;9.0;5.0;7.13;2.0;8.65;9.05;9.1;0.05;7.93;7.64;-0.29;6.92;7.13;0.21;9.0;0.0;Dem.;8.37;2.0;Advanced;9.1;1.0;Democracies in consolidation;7.64;2.0;Advanced;7.13;1.0;Very good;2.1;5.0;Negligible;8.65;1.0;Excellent
2010;55;15.0;8.3;15.0;8.5;9.3;9.0;9.0;9.0;10.0;9.0;10.0;7.0;7.8;8.0;8.5;8.0;8.0;8.0;9.0;7.0;15.0;8.11;8.8;8.0;8.0;10.0;9.0;8.5;8.5;9.0;8.0;17.0;6.61;4.0;7.95;8.85;8.5;-0.35;8.29;8.11;-0.18;6.87;6.61;-0.26;9.5;0.0;Dem.;8.3;2.0;Advanced;8.5;1.0;Democracy in consolidation;8.11;1.0;Highly advanced;6.61;2.0;Good;2.4;5.0;Negligible;7.95;2.0;Sound
2018;55;14.0;8.07;14.0;8.35;9.3;10.0;9.0;8.0;10.0;8.8;10.0;7.0;8.0;8.0;8.5;7.3;7.0;8.0;7.0;7.0;18.0;7.79;9.0;8.0;9.0;10.0;9.0;8.0;8.0;9.0;7.0;21.0;6.07;4.0;7.37;8.4;8.35;-0.05;7.46;7.79;0.32;6.39;6.07;-0.33;10.0;0.0;Dem.;8.07;2.0;Advanced;8.35;1.0;Democracy in consolidation;7.79;2.0;Advanced;6.07;2.0;Good;2.1;5.0;Negligible;7.37;2.0;Sound
2012;55;15.0;8.25;16.0;8.4;9.3;10.0;9.0;8.0;10.0;8.8;10.0;7.0;7.8;8.0;8.5;7.8;8.0;8.0;8.0;7.0;14.0;8.11;8.8;8.0;8.0;10.0;9.0;8.5;8.5;9.0;8.0;23.0;6.39;4.0;7.68;8.5;8.4;-0.1;8.11;8.11;0.0;6.61;6.39;-0.22;10.0;0.0;Dem.;8.25;2.0;Advanced;8.4;1.0;Democracy in consolidation;8.11;1.0;Highly advanced;6.39;2.0;Good;2.4;5.0;Negligible;7.68;2.0;Sound
2014;55;13.0;8.17;14.0;8.45;9.5;10.0;9.0;9.0;10.0;8.8;10.0;7.0;8.3;8.0;8.5;7.3;7.0;8.0;7.0;7.0;18.0;7.89;8.8;8.0;8.0;10.0;9.0;8.0;8.5;9.0;8.0;19.0;6.46;4.0;7.85;8.4;8.45;0.05;8.11;7.89;-0.21;6.39;6.46;0.07;10.0;0.0;Dem.;8.17;2.0;Advanced;8.45;1.0;Democracy in consolidation;7.89;2.0;Advanced;6.46;2.0;Good;2.0;5.0;Negligible;7.85;2.0;Sound
2020;55;15.0;7.91;16.0;8.15;9.3;10.0;9.0;8.0;10.0;8.5;10.0;6.0;7.3;8.0;8.5;7.3;7.0;8.0;7.0;7.0;17.0;7.68;9.3;8.0;10.0;10.0;9.0;8.0;8.0;9.0;7.0;25.0;6.04;4.0;7.28;8.35;8.15;-0.2;7.79;7.68;-0.11;6.07;6.04;-0.03;10.0;0.0;Dem.;7.91;2.0;Advanced;8.15;1.0;Democracies in consolidation;7.68;2.0;Advanced;6.04;2.0;Good;2.3;5.0;Negligible;7.28;2.0;Sound
